id,name,pos,team_name,price,selected_by,status,pen1,prior,benched,minutes_season,xp_h,xp_next,p_start,games,starts_actual,value
45,McGinn,MID,AVL,5.4,2.4,a,False,False,False,261,15.544573303534474,2.7548947449551573,0.7920000000000001,6,1.0,2.8786246858397173
46,Barkley,MID,AVL,5.0,0.3,a,False,False,False,240,13.404751738479323,2.349815411466701,0.593,6,1.0,2.6809503476958647
47,Kamara,MID,AVL,5.0,0.3,a,False,False,False,270,11.967010602513152,2.057167727785446,0.6789999999999999,6,1.0,2.3934021205026306
48,Onana,MID,AVL,5.0,0.0,i,False,False,False,0,1.92632026223559,0.0,0.08866666666666667,6,0.0,0.385264052447118
49,Iling Jr,MID,AVL,5.0,0.0,u,False,True,False,0,1.3222845870936288,0.0,0.07133333333333333,6,0.0,0.2644569174187258
50,Burrowes,MID,AVL,4.5,0.7,a,False,True,False,0,0.8400534632389935,0.14584749395164098,0.043000000000000003,6,0.0,0.18667854738644302
51,George Hemmings,MID,AVL,4.5,1.1,a,False,False,False,234,12.799296287923806,2.2144164148228302,0.83,6,1.0,2.844288063983068
52,Alysson,MID,AVL,5.0,0.0,a,False,True,False,42,3.330798075080675,0.5794831557330478,0.17800000000000002,6,0.0,0.6661596150161351
53,Manzambi,MID,AVL,5.9,0.1,i,False,True,False,0,5.066369991403555,0.0,0.24066666666666667,6,0.0,0.8587067782039923
54,Gomes,MID,AVL,5.5,0.0,s,False,False,False,39,4.459975183242674,0.0,0.20933333333333334,6,0.3333333333333333,0.8109045787713953
55,Watkins,FWD,AVL,7.8,3.6,u,False,False,False,0,4.954767842039075,0.0,0.17666666666666667,6,0.0,0.635226646415266
56,Abraham,FWD,AVL,5.5,0.2,a,False,True,False,24,8.171394087786041,1.4329649978451604,0.349,6,0.0,1.4857080159610982
57,Petrović,GK,BOU,4.5,3.4,a,False,False,False,270,18.876546678438576,3.226842493030728,0.93,6,1.0,4.194788150764128
58,Forster,GK,BOU,4.0,3.4,a,False,True,False,0,3.2584085056535415,0.5567073898977599,0.16,6,0.0,0.8146021264133854
59,Dennis,GK,BOU,4.0,0.1,u,False,True,False,0,0.9667640053617292,0.0,0.047999999999999994,6,0.0,0.2416910013404323
60,Hill,DEF,BOU,5.5,0.8,a,False,False,False,270,20.120576688427253,3.43881971365808,0.855,6,1.0,3.658286670623137
61,Truffert,DEF,BOU,5.5,3.6,a,False,False,False,270,20.817089294298793,3.556468962318304,0.9700000000000001,6,1.0,3.784925326236144
62,Diakité,DEF,BOU,5.0,0.2,a,False,False,False,0,5.170229812799097,0.8794708481306462,0.281,6,0.0,1.0340459625598195
63,Milosavljević,DEF,BOU,5.0,0.0,i,False,True,False,0,4.943039465282315,0.0,0.23933333333333331,6,0.0,0.9886078930564629
64,Smith,DEF,BOU,4.5,0.1,a,False,False,False,270,9.619048756018502,1.6470281929514496,0.6789999999999999,6,1.0,2.137566390226334
65,J.Araujo,DEF,BOU,4.4,0.0,i,False,True,False,0,1.0772351871076855,0.0,0.06266666666666666,6,0.0,0.2448261788881103
66,Soler,DEF,BOU,4.0,0.3,a,False,True,False,0,1.5150179340885792,0.26020387222720026,0.081,6,0.0,0.3787544835221448
67,Rayan,MID,BOU,6.4,2.1,a,False,False,False,266,16.86189807333851,2.8998823563426326,0.7719999999999999,6,1.0,2.634671573959142
68,Tavernier,MID,BOU,6.0,2.9,a,False,False,False,268,29.772568708762346,5.135175964855643,0.916,6,1.0,4.962094784793725
69,Scott,MID,BOU,6.0,3.5,a,False,False,False,266,25.883182646730855,4.385947706915966,0.9250000000000002,6,1.0,4.313863774455142
70,Kluivert,MID,BOU,6.0,1.1,a,False,False,False,229,14.795994461817042,2.5592638674349146,0.694,6,1.0,2.465999076969507
71,Cook,MID,BOU,5.0,0.2,a,False,False,False,157,10.43780734822778,1.7496194232464726,0.454,6,0.6666666666666666,2.0875614696455562
