id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
1,Raya,60,39.0,169784,145572,a,
2,Arrizabalaga,49,0.1,237,655,a,
3,Meslier,49,0.0,88,242,a,
4,Gabriel,80,24.4,39063,171200,a,
5,J.Timber,65,0.1,533,1119,d,25.0
6,Saliba,59,0.2,653,2784,i,0.0
7,Lewis-Skelly,55,0.7,5324,7668,a,
8,Calafiori,58,48.3,339187,62914,a,
9,Hincapie,53,1.1,2916,14115,a,
10,White,55,7.6,85073,81393,a,100.0
11,Mosquera,54,3.1,659,123945,d,75.0
12,Saka,95,11.4,143715,100790,a,
13,Rice,74,13.4,19342,102882,a,
14,Eze,64,1.2,3102,21764,a,
15,Ødegaard,67,15.7,475052,78139,a,
16,Madueke,63,0.2,1229,3293,a,
17,Merino,59,0.4,1519,7803,a,
18,Martinelli,63,0.1,0,5278,u,0.0
19,Zubimendi,54,0.7,1251,9084,a,
20,Dowman,53,0.1,496,1035,a,
22,Nwaneri,54,0.0,0,283,u,0.0
23,Fábio Vieira,55,0.0,0,226,u,0.0
24,Nelson,55,0.0,0,84,u,0.0
25,Gyökeres,72,3.9,4946,67770,a,
26,Havertz,75,7.7,133071,53182,a,
27,G.Jesus,59,0.2,0,6666,u,0.0
31,Konsa,44,14.5,412853,70227,a,
452,Bruno G.,68,1.8,1686,27813,a,100.0
557,Tzolis,64,16.8,54480,276417,a,
29,M.Bizot,45,0.1,742,1178,a,
30,Digne,45,0.1,0,735,u,0.0
32,Cash,45,6.6,17717,47810,d,75.0
33,Mings,45,0.4,2851,1719,a,
34,Pau,45,0.4,1835,3856,a,
35,Bogarde,50,0.1,518,847,a,
36,Maatsen,45,0.8,8837,4375,a,
37,Lindelöf,45,0.3,2644,1427,a,
38,A.García,40,1.7,9334,12537,a,
39,Nedeljkovic,40,0.2,0,1619,u,0.0
41,Buendía,59,1.0,8364,14883,a,
44,Bailey,54,0.1,0,3755,u,0.0
45,McGinn,54,2.3,11480,22575,a,
46,Barkley,50,0.3,3478,2511,a,
47,Kamara,50,0.3,2665,3380,a,100.0
48,Onana,50,0.0,80,207,i,0.0
49,Iling Jr,50,0.0,0,19,u,0.0
50,Burrowes,45,0.7,5364,6152,a,
51,George Hemmings,45,1.2,35641,15547,a,
52,Alysson,50,0.0,364,507,a,
53,Manzambi,59,0.1,329,1446,i,0.0
54,Gomes,55,0.0,93,390,s,0.0
55,Watkins,78,3.2,0,99153,u,0.0
