id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
1,Raya,60,41.8,47918,10216,a,
2,Arrizabalaga,49,0.1,35,67,a,
3,Meslier,49,0.0,11,28,a,
4,Gabriel,80,23.0,5266,20023,a,
5,J.Timber,65,0.3,3295,912,a,100.0
6,Saliba,59,0.2,100,322,i,0.0
7,Lewis-Skelly,54,0.6,258,1658,a,
8,Calafiori,58,50.7,21559,15866,a,
9,Hincapie,53,0.9,331,1625,a,
10,White,55,5.4,1852,19644,a,100.0
11,Mosquera,53,1.7,303,2817,a,100.0
12,Saka,95,13.3,30268,10981,a,
13,Rice,74,12.3,2976,12452,a,
14,Eze,63,1.0,479,1926,a,
15,Ødegaard,68,20.0,23799,27660,a,
16,Madueke,62,0.2,233,425,a,
17,Merino,58,0.4,176,839,a,
18,Martinelli,63,0.1,0,183,u,0.0
19,Zubimendi,53,0.6,123,1124,a,
20,Dowman,53,0.1,137,166,a,
22,Nwaneri,54,0.0,0,14,u,0.0
23,Fábio Vieira,55,0.0,0,16,u,0.0
24,Nelson,55,0.0,0,6,u,0.0
25,Gyökeres,71,3.1,1571,4804,a,
26,Havertz,76,8.5,20169,11536,a,
27,G.Jesus,59,0.2,0,300,u,0.0
31,Konsa,46,19.4,40166,11641,a,
452,Bruno G.,67,1.8,1343,1936,a,100.0
557,Tzolis,63,12.9,3302,64782,a,
29,M.Bizot,45,0.1,18,354,i,0.0
30,Digne,45,0.0,0,69,u,0.0
32,Cash,44,5.0,901,8133,a,100.0
33,Mings,45,0.4,526,347,a,
34,Pau,45,0.3,4,1118,i,0.0
35,Bogarde,50,0.1,46,122,a,
36,Maatsen,45,0.5,12,2158,i,0.0
37,Lindelöf,45,0.3,326,343,a,
38,A.García,40,1.6,609,1701,a,
39,Nedeljkovic,40,0.1,0,151,u,0.0
41,Buendía,59,0.9,2998,1302,a,
44,Bailey,54,0.1,0,168,u,0.0
45,McGinn,54,2.2,1875,2561,a,
46,Barkley,50,0.3,183,536,a,
47,Kamara,50,0.3,337,472,a,100.0
48,Onana,49,0.0,10,30,i,0.0
49,Iling Jr,50,0.0,0,5,u,0.0
50,Burrowes,45,0.6,200,1024,a,
51,George Hemmings,45,1.2,980,3484,a,
52,Alysson,50,0.1,38,257,d,75.0
53,Manzambi,59,0.2,11774,551,a,100.0
