id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
1,Raya,61,42.1,88373,24877,a,
2,Arrizabalaga,49,0.1,64,141,a,
3,Meslier,49,0.0,28,61,a,
4,Gabriel,80,22.9,12995,41962,a,
5,J.Timber,65,0.3,7076,2120,a,100.0
6,Saliba,59,0.2,215,625,i,0.0
7,Lewis-Skelly,54,0.6,496,3449,a,
8,Calafiori,58,50.6,44994,38200,a,
9,Hincapie,52,0.9,777,3784,a,
10,White,55,5.2,3018,41354,d,75.0
11,Mosquera,53,1.7,646,5814,a,100.0
12,Saka,95,13.4,57896,28153,a,
13,Rice,74,12.2,6569,30844,d,75.0
14,Eze,63,1.0,1105,4137,a,
15,Ødegaard,68,19.9,45845,57986,a,
16,Madueke,62,0.2,429,978,a,
17,Merino,58,0.4,364,1846,a,
18,Martinelli,63,0.1,0,325,u,0.0
19,Zubimendi,53,0.6,273,2347,a,
20,Dowman,53,0.1,277,338,a,
22,Nwaneri,54,0.0,0,30,u,0.0
23,Fábio Vieira,55,0.0,0,25,u,0.0
24,Nelson,55,0.0,0,10,u,0.0
25,Gyökeres,71,3.1,3214,10150,a,
26,Havertz,76,8.5,36761,29002,a,
27,G.Jesus,59,0.1,0,569,u,0.0
31,Konsa,46,19.4,59897,26680,a,
452,Bruno G.,67,1.8,2806,4581,a,100.0
557,Tzolis,63,12.5,7132,104808,a,
29,M.Bizot,45,0.1,35,654,i,0.0
30,Digne,45,0.0,0,129,u,0.0
32,Cash,44,4.9,1689,16710,a,100.0
33,Mings,45,0.4,1030,818,a,
34,Pau,45,0.3,17,2092,i,0.0
35,Bogarde,50,0.1,109,277,a,
36,Maatsen,45,0.5,32,4177,i,0.0
37,Lindelöf,45,0.3,615,737,a,
38,A.García,40,1.5,1125,3796,a,
39,Nedeljkovic,40,0.1,0,321,u,0.0
41,Buendía,59,0.9,7267,2400,a,
44,Bailey,54,0.1,0,306,u,0.0
45,McGinn,54,2.2,4138,5258,a,
46,Barkley,50,0.3,346,1137,a,
47,Kamara,50,0.3,773,976,a,100.0
48,Onana,49,0.0,21,59,i,0.0
49,Iling Jr,50,0.0,0,7,u,0.0
50,Burrowes,45,0.6,378,2192,a,
51,George Hemmings,45,1.2,2032,6521,a,
52,Alysson,50,0.1,52,508,d,75.0
53,Manzambi,59,0.3,20041,1423,a,100.0
54,Gomes,55,0.0,250,103,a,100.0
55,Watkins,78,2.5,0,7143,u,0.0
56,Abraham,55,0.2,1014,1043,a,100.0
160,Garnacho,58,0.3,295,1757,a,
166,N.Jackson,65,1.4,21974,4490,a,
582,Madjo,54,0.2,103,1242,i,0.0
596,Ruggeri,45,0.1,334,212,a,
597,Suzuki,50,1.9,8865,3826,a,
606,Rowe,40,0.2,190,554,a,
607,Lynch,45,0.1,0,434,u,0.0
611,Wan-Bissaka,45,0.2,909,847,a,
618,Goretzka,59,0.0,8,284,i,0.0
630,Harwood-Bellis,45,0.0,108,108,a,
631,Mbaye,60,0.1,558,799,a,
667,Wright,40,0.1,3530,248,a,
57,Petrović,45,3.0,3480,6544,a,
58,Forster,40,3.5,5209,4025,a,
59,Dennis,40,0.1,0,350,u,0.0
60,Hill,55,0.8,1761,1787,a,
61,Truffert,55,3.0,2797,7487,a,
62,Diakité,49,0.2,353,601,a,
63,Milosavljević,49,0.0,12,22,i,0.0
64,Smith,45,0.1,239,277,a,
65,J.Araujo,44,0.0,20,32,i,0.0
66,Soler,40,0.3,487,700,a,100.0
67,Rayan,63,1.6,2362,6395,a,
68,Tavernier,61,6.7,52610,25941,a,
69,Scott,61,5.7,13526,25226,a,
70,Kluivert,60,0.9,2238,10600,i,0.0
71,Cook,50,0.2,161,733,a,
72,Gannon-Doak,49,0.1,85,242,a,
73,Adams,50,0.3,632,1031,a,100.0
74,Brooks,50,0.1,95,217,a,100.0
75,Christie,50,0.0,172,149,a,100.0
76,Tóth.A,49,0.0,15,34,a,
77,Adli,49,0.0,14,50,i,0.0
78,Kroupi.Jr,74,0.2,98,499,i,0.0
