id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
1,Raya,60,38.0,55053,39893,a,
2,Arrizabalaga,50,0.1,191,767,a,
3,Meslier,50,0.0,66,292,a,
4,Gabriel,80,29.4,32989,63312,a,
5,J.Timber,65,0.1,255,1950,i,0.0
6,Saliba,60,0.3,566,4492,i,0.0
7,Lewis-Skelly,55,0.7,5883,4858,a,
8,Calafiori,55,41.0,196545,19987,a,
9,Hincapie,55,1.6,2423,24926,a,
10,White,55,5.5,74921,10049,a,100.0
11,Mosquera,55,6.0,9741,21910,a,
12,Saka,95,10.3,51759,14358,a,
13,Rice,75,17.6,21470,82808,a,
14,Eze,65,1.9,3126,25254,a,
15,Ødegaard,65,10.4,168027,16116,a,
16,Madueke,65,0.3,657,4460,a,
17,Merino,60,0.6,1557,9380,a,
18,Martinelli,65,0.2,709,4216,a,
19,Zubimendi,55,1.1,893,11788,a,
20,Dowman,55,0.1,250,1495,a,
22,Nwaneri,55,0.0,42,196,a,
23,Fábio Vieira,55,0.0,42,134,a,
24,Nelson,55,0.0,41,99,a,
25,Gyökeres,75,7.9,5329,127240,a,
26,Havertz,75,6.8,110330,16657,a,
27,G.Jesus,60,0.3,1105,4197,a,
31,Konsa,45,11.7,25817,138150,a,
452,Bruno G.,70,3.3,519,71723,d,75.0
557,Tzolis,65,25.7,131774,23827,a,
28,Martinez,50,4.2,5081,29881,a,
29,M.Bizot,45,0.1,413,399,a,
30,Digne,45,0.1,0,3502,u,0.0
32,Cash,45,8.3,22621,55268,a,
33,Mings,45,0.4,2444,1853,a,
34,Pau,45,0.5,1509,2558,a,
35,Bogarde,50,0.1,440,491,a,
36,Maatsen,45,0.8,1927,4654,a,
37,Lindelöf,45,0.3,1345,2144,a,
38,A.García,40,1.7,4595,7510,a,
39,Nedeljkovic,40,0.3,0,4390,u,0.0
41,Buendía,60,1.3,3137,10185,a,
44,Bailey,55,0.2,651,1405,a,
45,McGinn,55,3.1,4907,22103,a,
46,Barkley,50,0.2,1104,1324,a,
47,Kamara,50,0.4,1643,2605,a,100.0
48,Onana,50,0.0,93,342,i,0.0
49,Iling Jr,50,0.0,0,88,u,0.0
50,Burrowes,45,0.7,2154,3639,a,
51,George Hemmings,45,0.7,3704,2587,a,
52,Alysson,50,0.0,236,316,a,
53,Manzambi,60,0.2,162,5800,i,0.0
54,Gomes,55,0.1,89,1139,s,0.0
55,Watkins,80,9.4,7821,112019,a,
56,Abraham,55,0.1,340,1352,d,75.0
160,Garnacho,60,0.6,1421,5358,a,
582,Madjo,55,0.5,849,4564,i,0.0
596,Ruggeri,45,0.1,630,581,a,
597,Suzuki,50,0.8,2477,3391,a,
606,Rowe,40,0.0,730,97,a,
607,Lynch,45,0.0,1890,314,a,
57,Petrović,45,3.3,11248,6101,a,
58,Forster,40,3.2,4470,4981,a,
59,Dennis,40,0.2,729,437,a,
60,Hill,55,0.9,4587,3336,a,
61,Truffert,55,4.3,10829,12513,a,
62,Diakité,50,0.2,1832,1308,a,
63,Milosavljević,50,0.0,47,185,i,0.0
64,Smith,45,0.1,1344,480,a,
65,J.Araujo,45,0.0,63,324,i,0.0
66,Soler,40,0.2,237,1441,d,75.0
67,Rayan,65,2.8,12128,11035,a,
68,Tavernier,60,2.0,34798,5225,a,
69,Scott,60,1.5,4140,6467,a,
70,Kluivert,60,1.2,7270,4602,a,
71,Cook,50,0.2,1554,853,a,
72,Gannon-Doak,50,0.1,240,469,a,
73,Adams,50,0.2,1417,1807,a,100.0
74,Brooks,50,0.0,234,411,a,100.0
75,Christie,50,0.0,231,98,a,100.0
76,Tóth.A,50,0.0,58,75,a,
77,Adli,50,0.0,28,649,i,0.0
78,Kroupi.Jr,75,0.4,321,8422,i,0.0
79,Evanilson,60,2.7,32917,8433,a,
80,Enes Ünal,55,0.0,0,684,u,0.0
81,Rodríguez,60,0.1,461,698,a,100.0
566,Silva,50,0.3,3141,972,a,
573,Sanchez,45,0.2,313,718,a,
608,Jebbison,50,0.0,871,126,a,
82,Kelleher,50,6.2,38902,8385,a,
83,Valdimarsson,45,0.1,325,440,a,
84,Collins,55,2.0,13087,4133,a,
85,Van den Berg,50,0.1,102,2583,i,0.0
86,Lewis-Potter,55,0.7,21138,2994,a,
87,Ajer,45,3.8,27748,5170,a,
88,Kayode,45,5.5,176857,8240,a,
89,Henry,45,0.3,351,1133,a,
90,Hickey,45,0.1,337,282,a,
91,Pinnock,45,0.1,255,527,a,
92,Ji-soo,45,0.0,74,105,a,
93,Schuster,45,0.2,93,579,a,
94,Schade,60,3.5,11110,12214,a,
95,O.Dango,65,1.2,3868,5027,a,
96,Damsgaard,55,0.6,1042,3980,a,
97,Jensen,55,0.2,1794,642,a,
98,Janelt,50,0.3,12902,1629,a,
99,Milambo,50,0.0,19,28,i,0.0
100,Carvalho,50,0.0,25,167,d,75.0
102,Yarmoliuk,50,1.2,437,6681,a,
103,Dasilva,50,0.0,112,188,a,
105,Anthony,60,0.2,774,1178,a,
106,Thiago,80,17.1,49349,64072,a,
107,Furo,45,0.9,4353,4329,a,
108,Wilson,55,0.4,2110,2405,a,
565,M.Sangaré,55,5.8,216167,9020,a,
109,Verbruggen,45,21.7,41439,19604,a,
111,Steele,40,4.1,5176,6617,a,
113,F.Kadıoğlu,45,2.5,1937,29697,d,75.0
114,Boscagli,45,0.3,1703,615,a,
115,De Cuyper,45,5.0,264562,7657,a,
116,Dunk,45,1.1,6554,2304,a,
117,Coppola,45,0.0,104,117,a,
118,Igor,45,0.1,310,447,a,
119,Costinha,45,0.0,164,110,a,
120,Svoboda,50,0.1,524,366,a,
121,Mitoma,60,0.0,108,755,i,0.0
122,Minteh,60,0.1,103,2211,i,0.0
123,Hinshelwood,60,1.5,83206,8085,a,
124,Groß,55,13.6,12688,52337,a,
125,Georginio,55,1.0,15405,4101,a,
126,O'Riley,55,0.1,354,726,a,
127,Gomez,50,3.8,9817,7837,a,
128,Buonanotte,50,0.0,0,117,u,0.0
129,Ayari,55,0.7,1789,3763,a,
130,Wieffer,50,0.4,7399,1324,a,
131,Baleba,50,0.2,1160,2501,i,0.0
132,Howell,45,0.1,0,995,u,0.0
133,Watson,50,0.0,0,39,u,0.0
134,Oriola,45,0.3,975,1399,a,
135,Yohanna,50,0.1,217,437,a,
137,Tzimas,55,0.0,54,138,i,0.0
138,Kostoulas,55,0.2,502,1060,a,
139,Ferguson,50,0.0,198,364,i,0.0
328,Struijk,50,0.2,976,1325,a,100.0
504,Vuskovic,50,2.5,13426,5593,a,
594,David,60,0.3,1571,1925,a,
600,Osman,50,0.0,140,84,a,
605,Yalcouyé,45,0.0,1623,275,a,
40,Rogers,75,25.3,110946,31913,a,
101,Henderson,50,0.0,151,387,d,75.0
136,Welbeck,60,1.1,683,13280,a,100.0
140,Sánchez,50,2.4,5347,8873,a,
141,Jörgensen,50,0.0,0,363,u,0.0
142,James,55,10.2,37264,35838,a,
143,Chalobah,55,0.2,0,5470,u,0.0
144,Gusto,50,1.2,7694,5307,a,
145,Fofana,50,0.0,244,135,a,100.0
146,B.Badiashile,45,0.0,222,255,a,
147,Tosin,45,0.2,176,974,a,
148,Hato,45,0.5,2186,2179,a,
149,Colwill,50,1.6,6752,8116,a,
150,M.Sarr,45,0.1,303,471,a,
151,Acheampong,45,0.3,2464,1271,a,
152,Palestra,55,2.7,4540,23577,d,75.0
153,Disasi,45,0.1,290,462,a,
154,Palmer,95,12.1,124745,18784,a,100.0
155,Enzo,70,5.0,11511,33716,a,
156,Neto,65,1.3,3665,9539,a,
157,Estêvão,65,1.2,3617,11380,a,
158,Gittens,60,0.0,169,366,a,
159,Caicedo,55,3.6,8754,41927,d,75.0
161,Lavia,50,0.1,561,461,a,
163,D.Essugo,45,0.2,825,1522,a,
164,Quenda,55,0.0,144,427,a,100.0
165,João Pedro,75,65.4,170842,18129,a,
166,N.Jackson,65,0.3,1595,3913,a,
167,Delap,55,0.4,1149,3630,a,
168,Marc Guiu,50,0.5,1438,3085,a,
169,Mheuka,45,0.4,1738,2353,a,
170,Emegha,50,0.2,1006,1276,a,100.0
200,Lacroix,60,9.3,29806,22091,a,
560,Penders,45,0.1,178,364,a,
561,Anselmino,45,0.0,93,264,d,25.0
568,Barco,55,0.1,205,779,a,
578,Mudryk,55,0.0,160,488,a,
583,Chavarria,50,0.2,652,1077,a,
104,Onyeka,50,0.2,858,758,a,
110,Rushworth,45,1.2,2766,2164,a,
171,Dovin,40,1.6,1079,3076,a,
172,Wilson,45,0.5,119,1683,a,
173,Thomas,40,8.0,16612,11051,a,
174,Kitching,40,0.7,280,2368,a,
175,van Ewijk,40,13.4,16344,26885,a,
176,Dasilva,40,0.9,1250,1885,a,
177,Kesler-Hayden,40,0.1,89,286,a,
178,Bidwell,40,0.1,354,419,a,
179,Latibeaudiere,40,0.0,72,217,a,
180,Woolfenden,40,0.2,533,883,a,
181,Brau,40,0.0,138,167,a,
182,Amenda,40,0.9,1445,2129,a,
183,Rudoni,50,0.1,362,663,a,100.0
184,Grimes,50,0.2,854,785,a,
185,Sakamoto,50,0.1,72,764,a,
186,Mason-Clark,55,0.1,140,850,a,100.0
187,Eccles,50,0.0,36,142,a,
188,Torp,55,0.2,90,944,a,
189,Shepherd,45,0.3,583,1686,a,
190,Tchaouna,55,0.2,749,645,a,
191,Borges Rodrigues,45,0.2,364,1014,a,
192,Andrews,45,0.7,1569,3909,a,
193,Wright,55,0.2,64,3335,i,0.0
194,Thomas-Asante,50,0.8,6470,3709,a,
195,Simms,50,1.0,8713,4171,a,
196,Markelo,50,0.0,0,385,u,0.0
197,Bassette,45,0.0,0,530,u,0.0
492,Awoniyi,55,0.8,2272,4426,a,
575,Yirenkyi,50,0.3,443,1445,a,
584,Hamer,55,0.2,192,740,a,
599,Cherif,50,0.1,891,709,a,
42,Guessand,55,0.0,231,351,a,
198,Henderson,50,1.9,2998,7706,a,100.0
199,Benitez,45,0.1,281,591,a,
201,Muñoz,55,9.1,11351,62534,a,
202,Richards,50,0.8,2361,2817,a,
203,Canvot,50,0.3,511,1787,a,
204,Mitchell,45,5.9,3931,25715,a,
205,Sosa,45,0.0,82,181,a,
206,Chadi Riad,45,0.1,243,1560,d,50.0
207,Mingueza,45,0.1,127,677,a,
208,Sarr,65,3.6,1825,92938,d,75.0
210,Wharton,55,0.9,3406,3726,a,100.0
211,Yeremy,55,0.2,159,1167,a,
212,Hughes,45,11.4,11819,47153,a,
213,Lerma,50,0.1,127,703,a,
214,Kamada,50,0.3,1058,1554,a,
215,Devenny,50,0.0,43,98,a,
216,Esse,50,0.0,138,315,a,
217,M.França,50,0.0,8,362,a,
218,Doucouré,50,0.1,161,552,a,
219,J.Rak-Sakyi,50,0.0,17,49,a,
220,Cardines,45,0.0,0,40,u,0.0
221,Drakes-Thomas,45,0.1,240,514,a,
222,Strand Larsen,60,0.6,813,3421,a,
223,Mateta,65,5.5,13304,32264,a,
224,Nketiah,55,0.5,1653,2805,a,
225,Uche,50,0.0,0,0,u,0.0
241,McNeil,55,0.2,197,755,a,
555,Matthews,40,1.8,3176,3266,a,
577,Tomiyasu,45,0.4,561,1289,a,
588,Khalaili,50,0.1,278,394,a,
595,Gozo,50,0.0,69,78,a,
21,Nørgaard,50,0.1,63,1658,i,0.0
209,Johnson,60,0.2,307,1288,a,
226,Pickford,55,8.6,34835,12029,a,
227,Travers,50,0.0,132,199,a,
228,King,45,0.0,129,205,a,
229,Tarkowski,60,8.9,25086,15017,a,
230,Branthwaite,55,1.8,11004,3825,a,
231,Keane,50,1.5,2198,12657,a,
232,O'Brien,50,0.5,936,3510,a,
233,Mykolenko,45,1.6,10866,3723,a,
234,Patterson,45,0.0,117,199,a,
235,Aznou,40,0.2,609,855,a,
236,Dewsbury-Hall,65,4.2,73160,12074,a,
237,Ndiaye,60,16.1,61567,22323,a,
239,Garner,60,0.1,677,956,a,100.0
240,Iroegbunam,50,0.0,11,207,i,0.0
242,George,55,0.3,1135,1165,a,
243,Alcaraz,50,0.1,473,594,a,
244,Armstrong,50,0.2,5650,998,a,
245,Dibling,55,0.0,94,396,a,
246,Röhl,50,0.1,244,290,a,
247,Hackney,55,0.3,623,1109,a,
248,Beto,55,2.6,4452,19907,a,
249,Barry,55,1.9,49874,8297,a,
250,Leno,45,3.1,5116,5201,a,
251,Lecomte,40,1.2,729,1729,a,
252,McNally,40,0.2,390,309,a,
253,Andersen,50,0.0,566,252,a,100.0
254,Robinson,45,1.7,5799,4533,a,
255,J.Cuenca,45,0.0,289,91,a,
256,Tete,45,0.3,211,931,a,
257,Bassey,45,0.8,4152,2734,a,
258,Castagne,45,0.4,3646,779,a,
261,Iwobi,55,1.0,2990,4240,a,
262,Smith Rowe,55,0.4,779,2161,a,
263,Kevin,55,0.1,223,390,a,
264,Bobb,55,0.3,2112,1465,a,
265,Berge,50,0.4,802,1626,a,
266,Cairney,50,0.0,8,72,i,0.0
268,King,55,0.3,13437,1207,a,
269,Sessegnon,45,0.4,551,1273,a,
