id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
1,Raya,60,37.8,28795,21228,a,
2,Arrizabalaga,50,0.1,119,528,a,
3,Meslier,50,0.0,41,188,a,
4,Gabriel,80,29.6,17787,34888,a,
5,J.Timber,65,0.1,164,1329,i,0.0
6,Saliba,60,0.3,405,3112,i,0.0
7,Lewis-Skelly,55,0.7,4053,2812,a,
8,Calafiori,55,40.4,123486,10910,a,
9,Hincapie,55,1.7,1611,16811,a,
10,White,55,5.1,42673,5173,a,100.0
11,Mosquera,55,6.1,6524,12852,a,
12,Saka,95,10.0,29082,6406,a,
13,Rice,75,17.9,13720,47688,a,
14,Eze,65,2.0,1947,16570,a,
15,Ødegaard,65,9.7,102770,7714,a,
16,Madueke,65,0.3,403,2837,a,
17,Merino,60,0.7,1058,6008,a,
18,Martinelli,65,0.2,481,2811,a,
19,Zubimendi,55,1.1,558,7464,a,
20,Dowman,55,0.1,183,1002,a,
22,Nwaneri,55,0.0,27,142,a,
23,Fábio Vieira,55,0.0,32,95,a,
24,Nelson,55,0.0,32,68,a,
25,Gyökeres,75,8.4,3258,77088,a,
26,Havertz,75,6.3,67187,7608,a,
27,G.Jesus,60,0.4,772,2887,a,
31,Konsa,45,12.2,17699,88133,a,
452,Bruno G.,70,3.6,367,47035,d,75.0
557,Tzolis,65,25.4,83771,11500,a,
28,Martinez,50,4.4,3924,16095,a,
29,M.Bizot,45,0.1,258,219,a,
30,Digne,45,0.1,0,2620,u,0.0
32,Cash,45,8.7,19989,27652,a,
33,Mings,45,0.4,1997,1014,a,
34,Pau,45,0.5,1323,1262,a,
35,Bogarde,50,0.1,323,280,a,
36,Maatsen,45,0.8,1564,2262,a,
37,Lindelöf,45,0.3,1127,1114,a,
38,A.García,40,1.8,3149,3922,a,
39,Nedeljkovic,40,0.3,0,3085,u,0.0
41,Buendía,60,1.3,2338,5019,a,
44,Bailey,55,0.2,478,743,a,
45,McGinn,55,3.2,3554,10770,a,
46,Barkley,50,0.2,756,643,a,
47,Kamara,50,0.4,1189,1371,a,100.0
48,Onana,50,0.0,71,221,i,0.0
49,Iling Jr,50,0.0,0,68,u,0.0
50,Burrowes,45,0.7,1482,1857,a,
51,George Hemmings,45,0.7,1584,1240,a,
52,Alysson,50,0.0,181,175,a,
53,Manzambi,60,0.2,122,3847,i,0.0
54,Gomes,55,0.1,72,714,s,0.0
55,Watkins,80,10.0,5935,50387,a,
56,Abraham,55,0.1,247,776,d,75.0
160,Garnacho,60,0.6,1157,2799,a,
582,Madjo,55,0.5,575,2488,i,0.0
596,Ruggeri,45,0.1,493,323,a,
597,Suzuki,50,0.8,1873,1768,a,
606,Rowe,40,0.0,132,12,a,
607,Lynch,45,0.0,304,38,a,
57,Petrović,45,3.3,5773,3079,a,
58,Forster,40,3.2,2402,2352,a,
59,Dennis,40,0.2,421,206,a,
60,Hill,55,0.9,2977,1742,a,
61,Truffert,55,4.4,6547,6318,a,
62,Diakité,50,0.2,1292,684,a,
63,Milosavljević,50,0.0,24,114,i,0.0
64,Smith,45,0.1,858,235,a,
65,J.Araujo,45,0.0,42,227,i,0.0
66,Soler,40,0.2,151,858,d,75.0
67,Rayan,65,2.8,7248,5321,a,
68,Tavernier,60,1.8,16208,2337,a,
69,Scott,60,1.5,2480,3124,a,
70,Kluivert,60,1.2,4181,2275,a,
71,Cook,50,0.2,859,432,a,
72,Gannon-Doak,50,0.1,164,249,a,
73,Adams,50,0.2,607,1218,a,100.0
74,Brooks,50,0.0,63,275,a,100.0
75,Christie,50,0.0,74,55,a,100.0
76,Tóth.A,50,0.0,33,48,a,
77,Adli,50,0.0,20,466,i,0.0
78,Kroupi.Jr,75,0.4,229,5774,i,0.0
79,Evanilson,60,2.5,16961,3791,a,
80,Enes Ünal,55,0.0,0,489,u,0.0
81,Rodríguez,60,0.1,194,475,a,100.0
566,Silva,50,0.3,1811,502,a,
573,Sanchez,45,0.2,235,374,a,
608,Jebbison,50,0.0,172,8,a,
82,Kelleher,50,6.0,19968,4247,a,
83,Valdimarsson,45,0.1,188,271,a,
84,Collins,55,1.9,7340,2152,a,
85,Van den Berg,50,0.1,80,1764,i,0.0
86,Lewis-Potter,55,0.6,11849,1412,a,
87,Ajer,45,3.6,14250,2402,a,
88,Kayode,45,4.4,93004,3587,a,
89,Henry,45,0.3,242,625,a,
90,Hickey,45,0.1,230,151,a,
91,Pinnock,45,0.1,171,305,a,
92,Ji-soo,45,0.0,51,67,a,
93,Schuster,45,0.2,62,305,a,
94,Schade,60,3.6,6557,6531,a,
95,O.Dango,65,1.2,2363,2759,a,
96,Damsgaard,55,0.6,611,2200,a,
97,Jensen,55,0.2,969,337,a,
98,Janelt,50,0.2,6009,667,a,
99,Milambo,50,0.0,14,20,i,0.0
100,Carvalho,50,0.0,16,119,d,75.0
102,Yarmoliuk,50,1.3,308,3592,a,
103,Dasilva,50,0.0,79,112,a,
105,Anthony,60,0.2,525,700,a,
106,Thiago,80,17.2,27355,29346,a,
107,Furo,45,0.9,2590,2204,a,
108,Wilson,55,0.4,1345,1248,a,
565,M.Sangaré,55,4.5,105268,3345,a,
109,Verbruggen,45,21.6,19392,10266,a,
111,Steele,40,4.1,2772,3172,a,
113,F.Kadıoğlu,45,2.7,1852,15580,d,75.0
114,Boscagli,45,0.2,809,287,a,
115,De Cuyper,45,3.0,107032,2635,a,
116,Dunk,45,1.1,3649,1151,a,
117,Coppola,45,0.0,68,68,a,
118,Igor,45,0.1,201,214,a,
119,Costinha,45,0.0,97,53,a,
120,Svoboda,50,0.1,327,188,a,
121,Mitoma,60,0.0,79,505,i,0.0
122,Minteh,60,0.1,72,1502,i,0.0
123,Hinshelwood,60,1.0,40343,2582,a,
124,Groß,55,14.0,7933,25966,a,
125,Georginio,55,1.0,7100,1727,a,
126,O'Riley,55,0.1,218,367,a,
127,Gomez,50,3.9,4929,4093,a,
128,Buonanotte,50,0.0,0,90,u,0.0
129,Ayari,55,0.7,1011,1945,a,
130,Wieffer,50,0.3,3109,565,a,
131,Baleba,50,0.2,869,1525,i,0.0
132,Howell,45,0.1,0,685,u,0.0
133,Watson,50,0.0,0,25,u,0.0
134,Oriola,45,0.3,652,692,a,
135,Yohanna,50,0.1,147,207,a,
137,Tzimas,55,0.0,35,87,i,0.0
138,Kostoulas,55,0.2,308,503,a,
139,Ferguson,50,0.0,124,227,i,0.0
328,Struijk,50,0.2,653,677,a,100.0
504,Vuskovic,50,2.5,7069,2761,a,
594,David,60,0.3,1079,961,a,
600,Osman,50,0.0,84,46,a,
605,Yalcouyé,45,0.0,273,33,a,
40,Rogers,75,24.3,20812,17836,a,
101,Henderson,50,0.0,107,203,d,75.0
136,Welbeck,60,1.1,306,7543,d,75.0
140,Sánchez,50,2.4,3200,2739,a,
141,Jörgensen,50,0.0,0,274,u,0.0
142,James,55,10.3,23221,9248,a,
143,Chalobah,55,0.2,0,3976,u,0.0
144,Gusto,50,1.2,4347,2118,a,
145,Fofana,50,0.0,49,89,s,0.0
146,B.Badiashile,45,0.0,154,127,a,
147,Tosin,45,0.2,146,320,a,
148,Hato,45,0.5,736,856,a,
149,Colwill,50,1.6,4011,2118,a,
150,M.Sarr,45,0.1,240,183,a,
151,Acheampong,45,0.3,526,587,a,
152,Palestra,55,3.0,3853,2457,a,
153,Disasi,45,0.1,234,192,a,
154,Palmer,95,10.7,11152,7858,a,
155,Enzo,70,5.3,8872,7953,a,
156,Neto,65,1.4,2541,2536,a,
157,Estêvão,65,1.3,2671,3258,a,
158,Gittens,60,0.0,117,147,a,
159,Caicedo,55,4.0,7419,7463,a,
161,Lavia,50,0.1,172,175,a,
163,D.Essugo,45,0.2,579,729,a,
164,Quenda,55,0.0,74,143,a,100.0
165,João Pedro,75,64.0,45869,13811,a,
166,N.Jackson,65,0.4,1205,1181,a,
167,Delap,55,0.5,817,1398,a,
168,Marc Guiu,50,0.5,1037,1397,a,
169,Mheuka,45,0.4,1155,1095,a,
170,Emegha,50,0.2,737,575,a,100.0
200,Lacroix,60,9.1,9511,11572,a,
560,Penders,45,0.1,84,156,a,
561,Anselmino,45,0.0,86,113,d,25.0
568,Barco,55,0.1,120,322,a,
578,Mudryk,55,0.0,114,190,a,
583,Chavarria,50,0.2,419,318,a,
104,Onyeka,50,0.2,557,423,a,
110,Rushworth,45,1.2,1599,1256,a,
171,Dovin,40,1.6,560,1701,a,
172,Wilson,45,0.5,74,968,a,
173,Thomas,40,8.0,10242,5674,a,
174,Kitching,40,0.7,162,1336,a,
175,van Ewijk,40,13.6,9823,14203,a,
176,Dasilva,40,0.9,742,1002,a,
177,Kesler-Hayden,40,0.1,53,175,a,
178,Bidwell,40,0.1,277,263,a,
179,Latibeaudiere,40,0.0,48,134,a,
180,Woolfenden,40,0.2,283,499,a,
181,Brau,40,0.0,74,96,a,
182,Amenda,40,0.9,830,1149,a,
183,Rudoni,50,0.1,216,399,a,100.0
184,Grimes,50,0.2,598,444,a,
185,Sakamoto,50,0.1,52,461,a,
186,Mason-Clark,55,0.1,73,541,a,100.0
187,Eccles,50,0.0,23,85,a,
188,Torp,55,0.2,53,567,a,
189,Shepherd,45,0.3,412,938,a,
190,Tchaouna,55,0.2,403,364,a,
191,Borges Rodrigues,45,0.2,207,568,a,
192,Andrews,45,0.7,947,2094,a,
193,Wright,55,0.2,46,2188,i,0.0
194,Thomas-Asante,50,0.8,3497,1839,a,
195,Simms,50,0.9,4661,1972,a,
196,Markelo,50,0.0,0,273,u,0.0
197,Bassette,45,0.0,0,337,u,0.0
492,Awoniyi,55,0.8,1235,2453,a,
575,Yirenkyi,50,0.3,321,852,a,
584,Hamer,55,0.2,119,460,a,
599,Cherif,50,0.1,568,408,a,
42,Guessand,55,0.0,149,198,a,
198,Henderson,50,1.9,1659,5196,a,100.0
199,Benitez,45,0.1,196,328,a,
201,Muñoz,55,9.4,8420,33792,a,
202,Richards,50,0.8,1527,1480,a,
203,Canvot,50,0.3,357,963,a,
204,Mitchell,45,6.1,3034,13670,a,
205,Sosa,45,0.0,63,106,a,
206,Chadi Riad,45,0.1,232,971,d,50.0
207,Mingueza,45,0.1,99,385,a,
208,Sarr,65,4.0,1722,55879,d,75.0
210,Wharton,55,0.9,1927,1951,a,100.0
211,Yeremy,55,0.2,97,628,a,
212,Hughes,45,11.7,7858,24073,a,
213,Lerma,50,0.1,99,370,a,
214,Kamada,50,0.3,663,802,a,
215,Devenny,50,0.0,33,59,a,
216,Esse,50,0.0,108,189,a,
217,M.França,50,0.0,4,202,a,
218,Doucouré,50,0.1,116,290,a,
219,J.Rak-Sakyi,50,0.0,9,32,a,
220,Cardines,45,0.0,0,24,u,0.0
221,Drakes-Thomas,45,0.1,173,287,a,
222,Strand Larsen,60,0.6,599,1829,a,
223,Mateta,65,5.7,8364,15120,a,
224,Nketiah,55,0.5,1030,1401,a,
225,Uche,50,0.0,0,0,u,0.0
241,McNeil,55,0.2,128,407,a,
555,Matthews,40,1.8,1806,1671,a,
577,Tomiyasu,45,0.4,407,675,a,
588,Khalaili,50,0.1,188,238,a,
595,Gozo,50,0.0,52,42,a,
21,Nørgaard,50,0.1,42,1077,i,0.0
209,Johnson,60,0.2,206,746,a,
226,Pickford,55,8.3,18313,6571,a,
227,Travers,50,0.0,67,124,a,
228,King,45,0.0,85,127,a,
229,Tarkowski,60,8.8,14444,7952,a,
230,Branthwaite,55,1.8,6415,2069,a,
231,Keane,50,1.6,1473,7236,a,
232,O'Brien,50,0.5,606,1985,a,
233,Mykolenko,45,1.6,6535,1963,a,
234,Patterson,45,0.0,83,118,a,
235,Aznou,40,0.2,402,496,a,
236,Dewsbury-Hall,65,3.9,47254,5537,a,
237,Ndiaye,60,16.0,35927,10992,a,
239,Garner,60,0.1,405,622,a,100.0
240,Iroegbunam,50,0.0,7,133,i,0.0
242,George,55,0.3,611,605,a,
243,Alcaraz,50,0.1,345,351,a,
244,Armstrong,50,0.1,2784,444,a,
245,Dibling,55,0.0,59,233,a,
246,Röhl,50,0.1,159,145,a,
247,Hackney,55,0.3,379,630,a,
248,Beto,55,2.7,2906,10769,a,
249,Barry,55,1.7,26110,3449,a,
250,Leno,45,3.1,2378,2510,a,
251,Lecomte,40,1.2,431,829,a,
252,McNally,40,0.2,232,145,a,
253,Andersen,50,0.0,54,151,s,0.0
254,Robinson,45,1.7,3098,1910,a,
255,J.Cuenca,45,0.0,84,30,a,
256,Tete,45,0.3,161,340,a,
257,Bassey,45,0.8,2135,1072,a,
258,Castagne,45,0.3,390,336,a,
261,Iwobi,55,1.0,1450,1685,a,
262,Smith Rowe,55,0.4,537,737,a,
263,Kevin,55,0.1,111,118,a,
264,Bobb,55,0.3,628,616,a,
265,Berge,50,0.4,472,754,a,
266,Cairney,50,0.0,5,48,i,0.0
268,King,55,0.2,95,280,a,
269,Sessegnon,45,0.5,345,440,a,
270,Reed,45,1.6,2520,3028,a,
271,Muniz,55,0.6,930,1066,a,
272,Kusi-Asare,45,7.3,8031,8608,a,
569,Gonzalo,60,2.1,5766,2599,a,
570,Palacios,55,0.2,165,345,a,
580,Charles,50,0.1,134,175,a,
273,Phillips,40,1.6,898,1745,a,
274,Butland,45,0.1,57,717,i,0.0
275,Cartwright,40,0.0,0,46,u,0.0
276,Lo-Tutala,40,0.0,0,168,u,0.0
277,Egan,40,1.7,12864,2094,a,
278,Hughes,40,0.1,36,954,i,0.0
279,Ajayi,40,1.3,23826,4294,d,75.0
280,Coyle,40,0.7,825,1424,d,75.0
281,Drameh,40,0.1,299,84,a,100.0
282,Giles,40,0.8,4061,867,a,
283,Jacob,40,0.0,18,90,i,0.0
284,McCarthy,40,0.1,190,320,a,
285,McNair,40,0.1,211,189,a,
286,Belloumi,50,0.5,4518,877,a,
287,Millar,50,0.1,124,265,a,
288,Dowell,45,0.4,536,1255,a,
289,Crooks,45,0.7,2790,1501,a,
290,Slater,45,3.3,23893,4809,a,
291,Matazo,45,0.0,22,24,i,0.0
292,Ömür,50,0.0,115,133,a,
293,Kamara,50,0.0,0,99,u,0.0
294,Zambrano,45,0.1,143,837,i,0.0
295,McBurnie,55,1.6,20471,2669,a,
296,Akintola,50,0.0,372,334,a,
297,Gyabi,45,0.0,23,216,i,0.0
298,Destan,45,0.4,0,3941,u,0.0
299,Burstow,45,0.1,0,553,u,0.0
340,Gelhardt,50,0.0,17,115,i,0.0
556,Targett,40,2.4,1802,4706,a,
563,Morita,50,0.0,21,139,d,50.0
572,Tzolakis,45,1.2,25529,2099,a,
574,Hjertø-Dahl,50,0.1,127,265,a,
576,Stroud,50,0.1,446,160,a,
585,Herrington,40,0.7,1170,1018,a,
586,Mendy,40,1.7,37013,5130,d,75.0
589,Gourna-Douath,50,0.0,38,77,a,
259,Diop,40,18.0,10115,17039,a,
267,Lukić,50,0.1,359,236,a,
300,Walton,45,0.5,92,1116,a,
301,Palmer,40,4.7,2276,4399,a,
302,Button,40,0.5,538,453,a,
303,Kipré,40,0.7,145,1247,a,
304,O'Shea,40,3.5,3677,2843,a,
305,Davis,40,5.2,2367,5263,a,
306,Greaves,40,1.5,565,1226,a,
307,Johnson,40,0.1,165,306,a,
308,Furlong,40,0.7,107,1136,a,
309,Núñez,50,0.1,300,269,a,
310,Matusiwa,50,0.0,2,41,i,0.0
311,Burns,50,0.0,0,94,u,0.0
312,Taylor,45,0.0,49,356,i,0.0
313,Clarke,55,0.3,969,554,a,
314,Ogbene,50,0.0,17,77,a,
315,Fatawu,55,0.2,226,751,a,
316,Emersonn,55,0.9,27775,2469,a,
317,Hirst,50,0.2,0,3887,u,0.0
318,Philogene,55,0.2,69,746,a,
319,Szmodics,50,0.0,0,209,u,0.0
320,Akpom,50,0.6,1610,1535,a,
321,Walle Egeli,45,2.3,6731,4640,a,
322,Al-Hamadi,50,0.1,357,646,a,
323,McAteer,45,1.4,2002,3074,a,
324,Mehmeti,50,0.1,22,212,a,
554,Van Oevelen,45,0.0,25,125,a,
562,Maeda,55,0.4,344,1043,a,
564,Scherpen,45,0.7,487,729,a,
571,Florentino,50,0.1,111,407,a,
591,Enciso,55,0.4,5624,1199,d,75.0
592,Ouattara,40,1.1,1547,1566,a,
602,Humphreys,45,0.0,383,88,a,
260,Wilson,65,6.2,5345,14039,a,
326,Perri,45,0.6,120,1344,a,
327,Bijol,50,0.5,11800,1402,a,
329,Rodon,45,3.6,4395,2375,a,
330,Bogle,45,0.5,2394,607,a,
331,Gudmundsson,45,0.1,29,401,i,0.0
332,Justin,45,0.7,9961,1508,a,
333,Bornauw,45,0.0,0,86,u,0.0
334,Muharemović,50,3.4,6301,2235,a,
335,Stach,60,1.2,20986,2483,a,
336,Okafor,60,0.5,515,2452,a,
337,Aaronson,55,0.9,774,2041,a,
338,Ampadu,55,1.4,1026,2543,a,
339,Longstaff,50,0.1,214,454,a,
341,Gnonto,50,0.0,6,309,i,0.0
342,Harrison,50,0.0,0,20,u,0.0
343,James,50,0.1,222,524,a,
344,Gruev,50,0.0,2,46,i,0.0
345,Tanaka,50,0.2,379,1285,a,
346,Calvert-Lewin,60,30.5,24490,35038,a,
347,Nmecha,55,0.6,627,2565,a,
348,Piroe,50,0.2,0,2484,u,0.0
349,Mateo Joseph,45,0.1,106,409,i,0.0
385,Trafford,50,3.3,15346,2705,a,
598,Elvedi,45,0.0,117,66,a,
603,Lienou,40,0.1,818,107,a,
604,Cresswell,45,0.0,1046,173,a,
350,A.Becker,55,3.7,6470,5393,a,
351,Mamardashvili,50,0.2,269,663,a,
352,Woodman,40,1.1,945,1621,a,
353,Pecsi,40,0.0,0,208,u,0.0
354,Jaros,40,0.0,51,66,i,0.0
355,Davies,40,0.1,220,192,a,
356,Virgil,65,19.6,24330,17331,a,
357,Frimpong,55,3.5,8930,7711,a,
358,Kerkez,55,3.8,5662,7871,a,
359,Gomez,50,0.0,41,187,i,0.0
360,Bradley,50,0.0,32,100,i,0.0
361,Lucky,40,0.1,279,352,a,
362,Jacquet,50,2.4,7707,4512,a,100.0
363,Leoni,40,0.0,82,214,i,0.0
364,Tsimikas,50,0.1,184,280,a,
365,Ramsay,40,0.2,396,636,a,
366,Wirtz,75,12.5,11055,24611,a,
367,Gakpo,70,4.0,26766,4271,a,
368,Szoboszlai,70,42.0,56784,18794,a,
369,Ngumoha,60,1.2,2426,3756,a,
370,Chiesa,55,0.1,307,817,a,
371,Gravenberch,60,2.0,4057,4145,a,
372,Mac Allister,55,1.7,2421,5547,a,
373,C.Jones,55,0.0,18,501,d,75.0
374,Endo,50,0.1,251,337,a,100.0
375,Nyoni,50,0.0,69,207,a,
376,Bajcetic,50,0.0,2,12,i,0.0
377,Munoz,65,0.6,1523,1722,a,
378,McConnell,45,0.3,465,886,a,
379,Isak,90,17.0,19429,18315,a,
380,Ekitiké,75,0.2,317,1605,i,0.0
381,Koumas,50,0.0,43,53,a,
382,Danns,45,0.0,104,223,i,0.0
383,Elliott,55,0.1,143,370,a,
579,Araujo,55,2.7,12989,9186,a,
238,Grealish,65,0.2,432,667,a,100.0
384,Donnarumma,55,8.3,9436,12622,a,
386,Bettinelli,45,0.0,67,82,a,
387,O'Reilly,65,21.3,22158,26709,a,
388,Guéhi,60,17.6,44141,12078,a,
389,Matheus N.,60,1.6,1509,3327,a,100.0
390,Rúben,55,1.8,4288,3427,a,
391,Gvardiol,55,11.6,51482,8607,a,
392,Aït-Nouri,55,0.9,1474,4538,a,
393,Khusanov,55,1.8,2523,3822,a,
394,Alleyne,50,0.0,0,187,u,0.0
395,Lewis,45,0.2,1368,738,a,
396,Vitor Reis,45,0.0,43,70,a,
397,Semenyo,85,25.8,15730,33663,a,
398,Foden,70,4.4,6698,10164,a,
399,Cherki,75,8.7,48953,11557,a,
400,Doku,75,1.7,241,27498,i,0.0
401,Marmoush,70,1.0,5786,4870,a,
402,Rodrigo,65,0.0,0,479,u,0.0
403,Savinho,65,0.3,1331,1385,a,
404,Reijnders,60,0.1,0,3051,u,0.0
405,N.Gonzalez,55,0.1,97,447,a,
406,Kovačić,55,0.1,300,355,a,
407,Echeverri,50,0.0,42,90,a,
408,Phillips,50,0.0,0,145,u,0.0
409,Mukasa,45,0.2,503,826,a,
410,Monga,50,0.0,46,94,a,
411,Haaland,155,69.0,21206,16373,a,
481,Anderson,65,7.5,4928,40039,d,75.0
587,Rulli,50,0.0,44,70,a,
43,Tielemans,60,2.5,5038,10710,a,100.0
162,Andrey Santos,50,1.0,2970,4739,a,
325,Darlow,45,0.0,79,84,a,100.0
412,Lammens,50,16.3,9018,28104,a,
413,Bayindir,45,0.0,0,313,u,0.0
414,Heaton,40,0.1,55,387,i,0.0
415,Dorgu,60,1.3,2122,9258,a,
416,De Ligt,50,0.0,55,224,i,0.0
417,Dalot,50,2.7,3640,10053,a,
418,Maguire,50,17.9,18123,30246,a,
419,Martinez,50,1.4,3608,6111,a,100.0
420,Yoro,50,0.7,870,3497,a,
421,Heaven,45,0.4,1235,1242,a,
422,Mazraoui,45,0.7,2128,1946,a,
423,Shaw,45,20.8,15330,35987,a,
424,Amass,40,0.2,396,667,a,
425,Fredricson,40,0.0,0,346,u,0.0
426,B.Fernandes,120,50.7,11327,48634,a,
427,Mbeumo,80,37.8,18834,51806,a,
428,Cunha,80,10.0,7302,24730,a,
429,Rashford,70,1.7,5284,6881,a,
430,Mount,55,0.0,17,297,d,75.0
431,Amad,60,1.4,1268,18167,d,75.0
432,Mainoo,55,1.0,1161,4642,a,
433,Ugarte,50,0.0,8,47,i,0.0
434,J.Fletcher,50,0.0,21,59,a,
435,Lacey,50,0.0,101,204,a,
436,Collyer,50,0.0,23,76,a,
437,Bendito Mantato,45,0.2,488,826,a,
438,Fletcher,45,0.4,626,1353,a,
439,Šeško,70,1.5,7495,4323,a,100.0
440,Zirkzee,55,0.6,942,4133,a,
441,Obi,45,1.1,1961,3519,a,
442,Pope,50,1.4,1028,2925,a,
443,Gillespie,45,0.0,63,80,a,
444,Jaouen,45,0.0,41,111,a,
445,Thiaw,50,1.7,4338,2307,a,
446,Schär,50,0.3,801,491,a,100.0
447,Botman,50,0.5,2725,862,a,
448,Burn,50,2.4,6043,17575,i,0.0
449,Hall,50,3.7,15066,4302,a,
450,Livramento,50,0.0,40,509,i,0.0
451,A.Murphy,40,0.1,0,1659,u,0.0
453,Barnes,60,1.1,2890,2152,a,
454,Elanga,60,1.0,17002,1995,a,
456,J.Ramsey,50,0.4,642,1097,a,
457,J.Murphy,60,0.2,292,613,a,
458,Joelinton,55,0.0,14,398,i,0.0
459,L.Miley,55,0.1,315,112,a,100.0
460,Willock,50,0.1,1105,324,a,
461,Touré,60,0.3,244,1022,a,
462,Steur,50,0.1,289,272,a,
463,Woltemade,60,1.8,3572,7244,a,
464,Wissa,60,2.0,22591,2971,a,
465,Osula,60,1.1,8063,2345,a,
466,Neave,45,0.8,2137,2269,a,
559,Bamba,50,0.1,296,435,a,
567,Horníček,50,0.7,1416,1066,a,
593,Dedić,45,0.3,1709,378,a,
609,Shahar,40,0.0,396,35,a,
467,Sels,50,1.6,860,2467,a,
468,John,45,0.1,70,132,a,
469,N.Williams,50,9.9,7011,17736,a,
470,Morato,50,0.1,110,174,a,
471,Milenković,55,2.0,1048,3746,a,
472,Murillo,55,1.7,3382,2565,a,100.0
473,Aina,45,3.6,6171,5688,a,
474,Jair Cunha,45,0.2,118,386,a,
475,Savona,45,0.0,10,15,i,0.0
476,O.Richards,40,0.3,235,555,a,
477,Abbott,40,0.3,409,630,a,
478,Netz,45,0.0,50,87,a,
479,Bindon,40,0.2,145,380,a,
480,Gibbs-White,80,11.3,5572,33720,a,
482,Hudson-Odoi,60,0.3,323,1396,a,100.0
483,Ndoye,55,0.4,277,1271,a,
484,Hutchinson,55,0.2,70,586,a,
485,Bakwa,55,0.0,45,92,a,
486,McAtee,55,0.0,168,119,a,
487,Dominguez,50,0.1,91,317,a,
488,I.Sangaré,50,1.1,959,3298,a,
489,Yates,45,1.7,289,16140,i,0.0
490,Wood,60,1.8,1898,6547,a,
491,Igor Jesus,60,4.2,3624,10631,a,
493,Kalimuendo,55,0.1,112,212,a,
558,Schlager,50,0.1,52,304,a,
581,Diomande,55,0.8,1762,3480,a,
590,Benda,45,0.1,257,148,a,
112,Van Hecke,50,10.5,20673,28275,a,
455,Tonali,55,4.1,4820,14452,a,
494,Vicario,45,0.3,0,5927,u,0.0
495,Austin,40,0.9,954,985,a,
496,Kinsky,45,23.8,10069,21837,a,
497,Dubravka,40,19.3,8913,15674,a,
498,Senesi,60,8.1,6296,17018,a,
499,Pedro Porro,55,15.2,2292,168700,d,75.0
500,Romero,50,0.2,0,6014,u,0.0
501,Danso,50,0.2,588,734,a,
502,Robertson,45,3.9,8381,6361,a,
503,Van de Ven,50,4.9,1246,67459,d,50.0
505,Spence,45,0.7,0,27169,u,0.0
506,Udogie,45,0.5,878,1346,a,
507,Phillips,45,0.0,0,310,u,0.0
508,Davies,40,1.1,1354,2601,a,
509,Byfield,40,0.1,157,162,a,
510,Rowswell,40,0.1,137,206,a,
511,Souza,40,0.3,492,818,a,
512,Kudus,65,0.1,114,882,d,50.0
513,Xavi,60,0.0,34,151,i,0.0
514,Tel,60,0.6,851,2255,a,
515,Maddison,65,1.3,1705,5779,a,
516,Bentancur,55,0.2,186,543,a,
517,Odobert,55,0.0,4,10,i,0.0
518,P.M.Sarr,50,0.2,22,4199,i,0.0
519,Gallagher,55,0.3,387,1257,a,
520,Bergvall,55,0.2,261,612,a,
521,Kulusevski,65,0.0,32,81,i,0.0
522,Gray,50,0.2,617,754,a,
523,Moore,50,0.2,328,659,a,
524,Olusesi,45,0.9,1326,2997,a,
525,Fernandes,60,1.9,1619,9229,a,
526,Solanke,60,1.4,1925,5211,a,
527,Richarlison,60,3.1,4845,8850,a,
528,Scarlett,45,1.8,4163,4732,a,
601,Williams-Barnett,45,0.0,667,98,a,
529,Roefs,50,4.3,1504,7528,a,
530,Patterson,40,0.2,0,1096,u,0.0
531,Ellborg,45,0.1,84,250,a,
532,Ballard,50,5.5,4613,12509,a,
533,Mukiele,55,2.8,2281,10274,a,100.0
534,Hume,45,6.8,4988,10223,a,
535,Alderete,50,0.5,1132,1298,a,100.0
536,Reinildo,45,0.5,321,804,a,
537,Seelt,45,0.0,20,36,a,
538,Hjelde,40,0.1,0,443,u,0.0
539,O'Nien,40,3.7,1793,4356,a,
540,Masuaku,40,0.2,0,2216,u,0.0
541,Meunier,45,0.3,381,439,a,100.0
542,E.Le Fée,60,9.8,4007,30778,a,
543,Diarra,55,0.1,100,302,a,
544,Xhaka,55,4.5,11295,4288,a,
545,Sadiki,50,0.4,408,891,a,
546,Adingra,50,0.1,20,1471,i,0.0
547,Mundle,50,0.0,20,49,a,
548,Rigg,50,0.1,41,151,a,
549,Talbi,55,0.2,123,741,a,
550,Jocelin.T,50,0.0,18,28,a,
551,Angulo,50,0.1,1746,331,a,
552,Brobbey,60,13.9,12383,23679,a,
553,Isidor,55,1.0,835,3162,a,
