id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
1,Raya,60,37.6,3921,3338,a,
2,Arrizabalaga,50,0.1,33,165,a,
3,Meslier,50,0.0,11,51,a,
4,Gabriel,80,29.7,3259,7905,a,
5,J.Timber,65,0.1,50,393,i,0.0
6,Saliba,60,0.3,119,959,i,0.0
7,Lewis-Skelly,55,0.7,1678,536,a,
8,Calafiori,55,39.8,34844,2241,a,
9,Hincapie,55,1.8,571,6144,a,
10,White,55,4.6,7296,1009,a,100.0
11,Mosquera,55,6.3,2602,3390,a,
12,Saka,95,9.4,4377,1168,a,
13,Rice,75,18.0,3997,11640,a,
14,Eze,65,2.1,580,5330,a,
15,Ødegaard,65,8.3,17881,1906,a,
16,Madueke,65,0.3,119,898,a,
17,Merino,60,0.7,280,1611,a,
18,Martinelli,65,0.2,135,984,a,
19,Zubimendi,55,1.2,164,1929,a,
20,Dowman,55,0.1,54,267,a,
22,Nwaneri,55,0.0,9,39,a,
23,Fábio Vieira,55,0.0,9,23,a,
24,Nelson,55,0.0,8,18,a,
25,Gyökeres,75,8.9,746,25771,a,
26,Havertz,75,5.6,18540,1533,a,
27,G.Jesus,60,0.4,237,924,a,
31,Konsa,45,13.1,6207,23933,a,
452,Bruno G.,70,4.1,118,14421,d,75.0
557,Tzolis,65,25.2,24246,2038,a,
28,Martinez,50,4.4,1178,1434,a,
29,M.Bizot,45,0.1,48,25,a,
30,Digne,45,0.1,0,855,u,0.0
32,Cash,45,8.9,8828,1320,a,
33,Mings,45,0.4,857,98,a,
34,Pau,45,0.5,535,108,a,
35,Bogarde,50,0.1,142,46,a,
36,Maatsen,45,0.8,644,153,a,
37,Lindelöf,45,0.3,465,74,a,
38,A.García,40,1.8,1119,430,a,
39,Nedeljkovic,40,0.3,0,912,u,0.0
41,Buendía,60,1.4,510,394,a,
44,Bailey,55,0.2,148,91,a,
45,McGinn,55,3.3,983,740,a,
46,Barkley,50,0.2,238,89,a,
47,Kamara,50,0.4,371,174,a,100.0
48,Onana,50,0.0,27,54,i,0.0
49,Iling Jr,50,0.0,0,21,u,0.0
