id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
1,Raya,60,41.0,231138,51155,a,
2,Arrizabalaga,49,0.1,157,494,a,
3,Meslier,49,0.0,68,185,a,
4,Gabriel,80,23.2,39481,92905,a,
5,J.Timber,65,0.3,16707,3062,a,100.0
6,Saliba,59,0.2,370,1819,i,0.0
7,Lewis-Skelly,55,0.6,2787,9202,a,
8,Calafiori,58,50.2,221736,63715,a,
9,Hincapie,53,0.9,2307,13676,a,
10,White,55,5.7,17938,197508,d,75.0
11,Mosquera,53,1.8,152,72270,d,50.0
12,Saka,95,12.8,164168,51048,a,
13,Rice,74,12.5,24132,67936,a,
14,Eze,63,1.1,2649,15264,a,
15,Ødegaard,68,19.7,266855,102416,a,
16,Madueke,62,0.2,1011,3135,a,
17,Merino,58,0.4,1200,5586,a,
18,Martinelli,63,0.1,0,1334,u,0.0
19,Zubimendi,53,0.6,1301,7838,a,
20,Dowman,53,0.1,781,944,a,
22,Nwaneri,54,0.0,0,101,u,0.0
23,Fábio Vieira,55,0.0,0,82,u,0.0
24,Nelson,55,0.0,0,56,u,0.0
25,Gyökeres,72,3.2,4041,46755,a,
26,Havertz,76,8.2,99438,83204,a,
27,G.Jesus,59,0.2,0,2060,u,0.0
31,Konsa,45,18.6,270315,51178,a,
452,Bruno G.,67,1.8,13935,8196,a,100.0
557,Tzolis,64,13.9,31282,222083,a,
29,M.Bizot,45,0.1,388,1149,d,75.0
30,Digne,45,0.1,0,379,u,0.0
32,Cash,44,5.1,2874,98685,a,100.0
33,Mings,45,0.4,2754,4161,a,
34,Pau,45,0.3,228,7065,d,75.0
35,Bogarde,50,0.1,423,831,a,
36,Maatsen,45,0.6,529,23383,d,25.0
37,Lindelöf,45,0.3,2741,3025,a,
38,A.García,40,1.6,6328,11747,a,
39,Nedeljkovic,40,0.1,0,1048,u,0.0
41,Buendía,59,0.9,4748,17531,a,
44,Bailey,54,0.1,0,1399,u,0.0
45,McGinn,54,2.2,14787,18633,a,
46,Barkley,50,0.3,2098,3209,a,
47,Kamara,50,0.3,1691,3877,a,100.0
48,Onana,49,0.0,52,182,i,0.0
49,Iling Jr,50,0.0,0,19,u,0.0
50,Burrowes,45,0.6,1747,6026,a,
51,George Hemmings,45,1.3,11837,13599,a,
52,Alysson,50,0.1,1335,511,a,
53,Manzambi,59,0.1,1576,843,a,100.0
54,Gomes,55,0.0,391,273,d,75.0
55,Watkins,78,2.7,0,29585,u,0.0
56,Abraham,55,0.2,3077,2361,a,100.0
160,Garnacho,58,0.3,741,5988,a,
166,N.Jackson,65,1.2,13554,28121,a,
582,Madjo,54,0.2,228,3625,i,0.0
596,Ruggeri,45,0.1,574,969,a,
597,Suzuki,50,1.8,13379,14874,a,
606,Rowe,40,0.2,1578,1409,a,
607,Lynch,45,0.1,0,1233,u,0.0
611,Wan-Bissaka,45,0.2,3858,1866,a,
618,Goretzka,59,0.0,39,1229,i,0.0
630,Harwood-Bellis,45,0.0,287,299,a,
631,Mbaye,60,0.1,2086,1165,a,
57,Petrović,45,3.1,5682,21184,a,
58,Forster,40,3.5,18168,12088,a,
59,Dennis,40,0.1,0,869,u,0.0
60,Hill,55,0.8,2746,9024,a,
61,Truffert,55,3.1,5175,26888,a,
62,Diakité,50,0.2,780,1922,a,
63,Milosavljević,49,0.0,51,82,i,0.0
64,Smith,45,0.1,686,1593,a,
65,J.Araujo,44,0.0,79,128,i,0.0
66,Soler,40,0.3,2017,2021,a,100.0
67,Rayan,64,1.6,3428,28786,a,
68,Tavernier,61,6.1,258538,45743,a,
69,Scott,61,5.8,60901,62519,a,
70,Kluivert,60,1.0,11250,8448,a,
71,Cook,50,0.2,695,3097,a,
72,Gannon-Doak,49,0.1,282,679,a,
73,Adams,50,0.3,2563,3360,a,100.0
74,Brooks,50,0.1,419,754,a,100.0
75,Christie,50,0.0,471,534,a,100.0
76,Tóth.A,49,0.0,49,116,a,
77,Adli,49,0.0,22,184,i,0.0
78,Kroupi.Jr,74,0.2,123,1543,i,0.0
79,Evanilson,60,3.2,35518,36184,a,
80,Enes Ünal,55,0.0,0,103,u,0.0
81,Rodríguez,60,0.1,734,1155,a,100.0
566,Silva,50,0.4,1852,4938,a,
573,Sanchez,44,0.2,266,1061,a,
608,Jebbison,50,0.1,1676,1722,a,
615,Di Gregorio,45,0.0,300,470,a,
82,Kelleher,50,6.1,7661,50726,a,
83,Valdimarsson,45,0.1,260,705,a,
84,Collins,54,1.1,95,32004,i,0.0
85,Van den Berg,49,0.1,30,662,i,0.0
86,Lewis-Potter,55,1.8,5003,34010,a,
87,Ajer,45,4.1,7463,51175,a,
88,Kayode,46,7.8,15657,111222,a,
89,Henry,44,0.2,342,1344,a,
90,Hickey,45,0.1,268,502,a,
92,Ji-soo,45,0.0,55,139,a,
93,Schuster,45,0.1,260,755,a,
94,Schade,61,7.0,337104,44051,a,
95,O.Dango,63,0.5,683,11140,a,
