id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
1,Raya,60,35.2,0,0,a,
2,Arrizabalaga,50,0.1,0,0,a,
3,Meslier,50,0.0,0,0,a,
4,Gabriel,80,29.1,0,0,a,
5,J.Timber,65,0.2,0,0,i,0.0
6,Saliba,60,0.4,0,0,i,0.0
7,Lewis-Skelly,55,0.5,0,0,a,
8,Calafiori,55,29.7,0,0,a,
9,Hincapie,55,2.5,0,0,a,
10,White,55,3.5,0,0,a,100.0
11,Mosquera,55,10.6,0,0,a,
12,Saka,95,9.4,0,0,a,
13,Rice,75,19.5,0,0,a,
14,Eze,65,2.4,0,0,a,
15,Ødegaard,65,6.1,0,0,a,
16,Madueke,65,0.3,0,0,a,
17,Merino,60,0.8,0,0,a,
18,Martinelli,65,0.2,0,0,a,
19,Zubimendi,55,1.3,0,0,a,
20,Dowman,55,0.1,0,0,a,
22,Nwaneri,55,0.0,0,0,a,
23,Fábio Vieira,55,0.0,0,0,a,
24,Nelson,55,0.0,0,0,a,
25,Gyökeres,75,10.4,0,0,a,
26,Havertz,75,4.6,0,0,a,
27,G.Jesus,60,0.4,0,0,a,
452,Bruno G.,70,8.6,0,0,a,
557,Tzolis,65,17.4,0,0,a,
28,Martinez,50,4.7,0,0,a,
29,M.Bizot,45,0.1,0,0,a,
30,Digne,45,0.4,0,0,u,0.0
31,Konsa,45,15.4,0,0,a,
32,Cash,45,8.5,0,0,a,
33,Mings,45,0.3,0,0,a,
34,Pau,45,0.4,0,0,a,
35,Bogarde,50,0.1,0,0,a,
36,Maatsen,45,0.9,0,0,a,
37,Lindelöf,45,0.2,0,0,a,
38,A.García,40,1.7,0,0,a,
39,Nedeljkovic,40,0.8,0,0,u,0.0
41,Buendía,60,1.4,0,0,a,
44,Bailey,55,0.1,0,0,a,
45,McGinn,55,3.2,0,0,a,
46,Barkley,50,0.2,0,0,a,
47,Kamara,50,0.3,0,0,a,100.0
48,Onana,50,0.0,0,0,i,0.0
49,Iling Jr,50,0.0,0,0,u,0.0
50,Burrowes,45,0.7,0,0,a,
51,George Hemmings,45,0.5,0,0,a,
52,Alysson,50,0.0,0,0,a,
53,Manzambi,60,0.7,0,0,i,0.0
