id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
1,Raya,60,38.1,70059,51159,a,
2,Arrizabalaga,50,0.1,230,942,a,
3,Meslier,50,0.0,75,345,a,
4,Gabriel,80,29.4,41269,79512,a,
5,J.Timber,65,0.1,301,2341,i,0.0
6,Saliba,60,0.3,652,5282,i,0.0
7,Lewis-Skelly,55,0.7,6926,6068,a,
8,Calafiori,55,41.3,234821,25686,a,
9,Hincapie,55,1.6,2881,29590,a,
10,White,55,5.9,93665,13576,a,100.0
11,Mosquera,55,5.9,11390,27248,a,
12,Saka,95,10.3,62422,19445,a,
13,Rice,75,17.4,25940,102720,a,
14,Eze,65,1.8,3952,30533,a,
15,Ødegaard,65,10.8,203431,21330,a,
16,Madueke,65,0.3,843,5473,a,
17,Merino,60,0.6,1827,11347,a,
18,Martinelli,64,0.2,880,5038,a,
19,Zubimendi,55,1.0,1114,14238,a,
20,Dowman,55,0.1,298,1769,a,
22,Nwaneri,55,0.0,51,235,a,
23,Fábio Vieira,55,0.0,53,153,a,
24,Nelson,55,0.0,45,114,a,
25,Gyökeres,74,7.5,6431,156823,a,
26,Havertz,75,7.1,132756,22019,a,
27,G.Jesus,60,0.3,1364,5143,a,
31,Konsa,45,11.3,30969,165136,a,
452,Bruno G.,70,3.1,612,86868,d,75.0
557,Tzolis,65,25.8,159039,31199,a,
28,Martinez,50,4.1,5800,37738,a,
29,M.Bizot,45,0.1,516,521,a,
30,Digne,45,0.1,0,4043,u,0.0
32,Cash,45,8.1,23961,69961,a,
33,Mings,45,0.4,2694,2370,a,
34,Pau,45,0.4,1626,3299,a,
35,Bogarde,50,0.1,504,629,a,
36,Maatsen,45,0.8,2121,5825,a,
37,Lindelöf,45,0.3,1482,2705,a,
38,A.García,40,1.7,5420,9515,a,
39,Nedeljkovic,40,0.2,0,5235,u,0.0
41,Buendía,60,1.2,3640,13064,a,
44,Bailey,55,0.2,762,1820,a,
45,McGinn,55,3.0,5684,28274,a,
46,Barkley,50,0.2,1324,1722,a,
47,Kamara,50,0.4,1904,3247,a,100.0
48,Onana,50,0.0,111,404,i,0.0
49,Iling Jr,50,0.0,0,100,u,0.0
50,Burrowes,45,0.7,2558,4640,a,
51,George Hemmings,45,0.7,4956,3375,a,
52,Alysson,50,0.0,262,403,a,
53,Manzambi,60,0.2,176,6837,i,0.0
54,Gomes,55,0.1,111,1401,s,0.0
55,Watkins,80,8.9,8942,147089,a,
56,Abraham,55,0.1,393,1742,d,75.0
160,Garnacho,60,0.6,1592,6808,a,
582,Madjo,55,0.4,966,5673,i,0.0
596,Ruggeri,45,0.1,698,708,a,
597,Suzuki,50,0.8,2870,4375,a,
606,Rowe,40,0.0,963,149,a,
607,Lynch,45,0.1,2785,504,a,
611,Wan-Bissaka,45,0.0,410,35,a,
57,Petrović,45,3.3,14659,8147,a,
58,Forster,40,3.2,5839,6591,a,
59,Dennis,40,0.2,924,570,a,
60,Hill,55,0.9,5612,4326,a,
61,Truffert,55,4.3,13150,16222,a,
62,Diakité,50,0.2,2091,1653,a,
63,Milosavljević,50,0.0,58,218,i,0.0
64,Smith,45,0.1,1685,625,a,
65,J.Araujo,45,0.0,69,394,i,0.0
66,Soler,40,0.2,292,1768,d,75.0
67,Rayan,65,2.8,15032,14138,a,
68,Tavernier,60,2.1,44906,6883,a,
69,Scott,60,1.5,5307,8427,a,
70,Kluivert,60,1.2,9169,6012,a,
71,Cook,50,0.2,1950,1089,a,
72,Gannon-Doak,50,0.1,276,585,a,
73,Adams,50,0.2,1889,2134,a,100.0
74,Brooks,50,0.1,333,481,a,100.0
75,Christie,50,0.0,320,128,a,100.0
76,Tóth.A,50,0.0,71,96,a,
77,Adli,50,0.0,34,751,i,0.0
78,Kroupi.Jr,75,0.4,366,9988,i,0.0
79,Evanilson,60,2.7,41659,11121,a,
80,Enes Ünal,55,0.0,0,823,u,0.0
81,Rodríguez,60,0.1,605,847,a,100.0
566,Silva,50,0.3,3961,1282,a,
573,Sanchez,45,0.2,360,913,a,
608,Jebbison,50,0.0,1347,218,a,
82,Kelleher,50,6.3,49196,11320,a,
83,Valdimarsson,45,0.1,433,559,a,
84,Collins,55,2.0,16756,5461,a,
85,Van den Berg,50,0.1,118,3127,i,0.0
86,Lewis-Potter,55,0.8,26902,3943,a,
87,Ajer,45,3.8,36201,7260,a,
88,Kayode,45,6.3,221365,11825,a,
89,Henry,45,0.3,411,1399,a,
90,Hickey,45,0.1,409,361,a,
91,Pinnock,45,0.1,301,634,a,
92,Ji-soo,45,0.0,88,133,a,
93,Schuster,45,0.2,109,771,a,
94,Schade,60,3.5,13761,15610,a,
95,O.Dango,65,1.2,4737,6414,a,
96,Damsgaard,55,0.6,1351,4915,a,
97,Jensen,55,0.2,2322,848,a,
98,Janelt,50,0.3,17326,2259,a,
99,Milambo,50,0.0,21,36,i,0.0
100,Carvalho,50,0.0,43,192,a,100.0
102,Yarmoliuk,50,1.2,526,8372,a,
103,Dasilva,50,0.0,128,236,a,
105,Anthony,60,0.2,1143,1513,a,
106,Thiago,80,16.9,61741,84549,a,
107,Furo,45,0.9,5445,5550,a,
108,Wilson,55,0.4,2694,3133,a,
565,M.Sangaré,56,6.9,285970,12614,a,
109,Verbruggen,45,21.6,54101,25870,a,
111,Steele,40,4.1,6644,8689,a,
113,F.Kadıoğlu,45,2.4,2007,37239,d,75.0
114,Boscagli,45,0.3,2238,839,a,
115,De Cuyper,46,6.2,344763,11360,a,
116,Dunk,45,1.1,8179,3058,a,
117,Coppola,45,0.0,129,149,a,
118,Igor,45,0.1,361,590,a,
119,Costinha,45,0.0,194,131,a,
120,Svoboda,50,0.1,623,475,a,
121,Mitoma,60,0.0,125,917,i,0.0
122,Minteh,60,0.1,115,2658,i,0.0
123,Hinshelwood,60,2.1,107520,11397,a,
124,Groß,55,13.3,15573,68554,a,
125,Georginio,55,1.1,20337,5731,a,
126,O'Riley,55,0.1,452,917,a,
127,Gomez,50,3.8,12820,10152,a,
128,Buonanotte,50,0.0,0,137,u,0.0
129,Ayari,55,0.7,2207,4794,a,
130,Wieffer,50,0.4,9439,1792,a,
131,Baleba,50,0.2,1770,3006,i,0.0
132,Howell,45,0.1,0,1185,u,0.0
133,Watson,50,0.0,0,40,u,0.0
134,Oriola,45,0.3,1185,1817,a,
135,Yohanna,50,0.1,266,542,a,
137,Tzimas,55,0.0,64,176,i,0.0
138,Kostoulas,55,0.2,598,1344,a,
139,Ferguson,50,0.0,237,462,i,0.0
328,Struijk,50,0.2,1134,1656,a,100.0
504,Vuskovic,50,2.5,16191,7413,a,
594,David,60,0.3,1859,2452,a,
600,Osman,50,0.0,167,99,a,
605,Yalcouyé,45,0.1,2541,504,a,
40,Rogers,75,25.6,153105,41061,a,
101,Henderson,50,0.0,170,484,d,75.0
136,Welbeck,60,1.0,947,16208,a,100.0
140,Sánchez,50,2.4,6458,12307,a,
141,Jörgensen,50,0.0,0,419,u,0.0
142,James,55,10.1,43836,50408,a,
143,Chalobah,55,0.2,0,6344,u,0.0
144,Gusto,50,1.2,9167,7052,a,
145,Fofana,50,0.0,462,177,a,100.0
146,B.Badiashile,45,0.0,232,459,u,0.0
147,Tosin,45,0.2,205,1319,a,
148,Hato,45,0.5,2780,2911,a,
149,Colwill,50,1.6,7866,11292,a,
150,M.Sarr,45,0.1,334,643,a,
151,Acheampong,45,0.3,3831,1758,a,
152,Palestra,55,2.6,4680,32871,d,75.0
153,Disasi,45,0.1,322,608,a,
154,Palmer,95,13.5,199512,21967,a,100.0
155,Enzo,70,4.8,12641,48601,a,
156,Neto,65,1.3,4294,13421,a,
157,Estêvão,65,1.2,4089,15365,a,
