id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
429,Rashford,70,1.6,1675,2016,a,
430,Mount,54,0.0,43,30,a,100.0
431,Amad,58,0.4,10,867,i,0.0
432,Mainoo,55,1.4,3248,1043,a,
433,Ugarte,50,0.0,4,4,i,0.0
434,J.Fletcher,49,0.0,9,18,a,
435,Lacey,49,0.1,28,80,a,
436,Collyer,50,0.0,0,22,u,0.0
437,Bendito Mantato,45,0.2,88,214,a,
438,Fletcher,45,0.3,103,323,a,
439,Šeško,70,1.7,4720,1740,a,100.0
440,Zirkzee,54,0.4,402,700,a,
441,Obi,45,1.2,1597,1333,a,
405,N.Gonzalez,55,0.3,333,303,a,
442,Pope,49,1.0,272,806,a,
443,Gillespie,45,0.0,16,25,a,
444,Jaouen,45,0.0,2,46,d,50.0
445,Thiaw,50,2.2,2276,1690,a,
446,Schär,50,0.2,163,224,a,100.0
447,Botman,50,0.7,762,504,a,
448,Burn,49,0.9,21,1655,i,0.0
449,Hall,52,14.2,32269,4790,a,
450,Livramento,49,0.1,381,84,a,100.0
451,A.Murphy,40,0.1,0,107,u,0.0
453,Barnes,60,2.7,10529,1823,a,
454,Elanga,62,11.4,16935,12421,a,
456,J.Ramsey,49,0.4,579,456,a,
457,J.Murphy,59,0.1,98,213,a,
458,Joelinton,54,0.0,2,25,i,0.0
459,L.Miley,55,0.1,98,109,a,100.0
460,Willock,50,0.5,817,785,a,
461,Touré,58,0.1,44,240,a,
462,Steur,49,0.1,36,119,a,
463,Woltemade,59,0.6,0,2240,u,0.0
464,Wissa,62,18.4,31537,12181,a,
465,Osula,59,0.4,33,898,i,0.0
466,Neave,45,0.6,0,1231,u,0.0
559,Bamba,49,0.1,38,139,a,
567,Horníček,50,1.4,3888,1107,a,
593,Dedić,45,3.0,1571,6066,d,75.0
609,Shahar,40,0.2,0,1179,u,0.0
634,Fernandez-Pardo,60,0.1,420,150,a,
167,Delap,55,1.0,12460,856,a,
201,Muñoz,54,5.5,3091,5763,a,
467,Sels,50,1.4,3363,839,a,
468,John,45,0.1,17,26,a,
469,N.Williams,50,8.3,8299,3868,a,
470,Morato,50,0.0,0,59,u,0.0
471,Milenković,55,1.6,118,4985,d,75.0
472,Murillo,55,1.7,5090,674,a,100.0
