id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
1,Raya,60,38.3,22941,20650,a,
2,Arrizabalaga,50,0.1,98,168,a,
3,Meslier,50,0.0,21,56,a,
4,Gabriel,80,28.6,7666,38348,a,
5,J.Timber,65,0.1,105,502,i,0.0
6,Saliba,60,0.3,310,1220,i,0.0
7,Lewis-Skelly,55,0.7,1267,1493,a,
8,Calafiori,56,41.7,35091,12789,a,
9,Hincapie,54,1.5,1065,3395,a,
10,White,55,6.9,17230,12437,a,100.0
11,Mosquera,55,5.6,2055,10317,a,
12,Saka,95,10.3,6906,11043,a,
13,Rice,75,16.5,3899,29843,a,
14,Eze,64,1.7,1568,4859,a,
15,Ødegaard,66,11.9,20701,10787,a,
16,Madueke,64,0.3,345,832,a,
17,Merino,59,0.6,698,2159,a,
18,Martinelli,64,0.2,290,711,a,
19,Zubimendi,54,0.9,717,2471,a,
20,Dowman,54,0.1,180,307,a,
22,Nwaneri,54,0.0,34,52,a,
23,Fábio Vieira,55,0.0,37,31,a,
24,Nelson,55,0.0,4,79,u,0.0
25,Gyökeres,74,6.4,1599,17795,a,
26,Havertz,75,7.5,12680,12565,a,
27,G.Jesus,60,0.3,766,1032,a,
31,Konsa,45,10.6,16455,25141,a,
452,Bruno G.,69,2.6,225,12968,d,75.0
557,Tzolis,65,26.0,30647,19180,a,
28,Martinez,50,4.1,9056,6904,a,
29,M.Bizot,45,0.1,357,199,a,
30,Digne,45,0.1,0,486,u,0.0
32,Cash,45,7.5,3257,9745,a,
33,Mings,45,0.4,449,441,a,
34,Pau,45,0.4,277,522,a,
35,Bogarde,50,0.1,126,159,a,
36,Maatsen,45,0.7,487,956,a,
37,Lindelöf,45,0.3,252,392,a,
38,A.García,40,1.7,1932,1966,a,
39,Nedeljkovic,40,0.2,0,809,u,0.0
41,Buendía,60,1.2,1529,3081,a,
44,Bailey,55,0.1,235,437,a,
45,McGinn,55,2.7,2026,5504,a,
46,Barkley,50,0.2,519,476,a,
47,Kamara,50,0.3,643,795,a,100.0
48,Onana,50,0.0,35,110,i,0.0
49,Iling Jr,50,0.0,0,10,u,0.0
50,Burrowes,45,0.7,1138,1101,a,
51,George Hemmings,45,0.8,2896,1211,a,
52,Alysson,50,0.0,80,122,a,
53,Manzambi,59,0.2,96,1186,i,0.0
54,Gomes,55,0.0,11,239,s,0.0
55,Watkins,79,7.1,1346,36124,a,
56,Abraham,55,0.1,85,493,d,50.0
160,Garnacho,60,0.5,456,1666,a,
166,N.Jackson,65,0.5,11420,1617,a,
582,Madjo,55,0.4,161,1684,i,0.0
596,Ruggeri,45,0.1,160,146,a,
597,Suzuki,50,0.9,1357,1047,a,
606,Rowe,40,0.1,755,181,a,
607,Lynch,45,0.1,656,282,a,
611,Wan-Bissaka,45,0.1,1009,179,a,
618,Goretzka,60,0.0,781,74,a,
57,Petrović,45,3.4,5160,3212,a,
58,Forster,40,3.2,3494,2025,a,
59,Dennis,40,0.2,0,699,u,0.0
60,Hill,55,0.9,1168,1346,a,
61,Truffert,55,4.2,2416,4582,a,
62,Diakité,50,0.2,368,569,a,
63,Milosavljević,50,0.0,16,46,i,0.0
64,Smith,45,0.1,269,228,a,
65,J.Araujo,45,0.0,22,93,i,0.0
66,Soler,40,0.2,309,331,a,100.0
67,Rayan,65,2.7,2206,8057,a,
68,Tavernier,60,2.6,7776,5242,a,
69,Scott,60,1.6,7233,2360,a,
70,Kluivert,60,1.2,1926,3007,a,
71,Cook,50,0.2,909,380,a,
72,Gannon-Doak,50,0.1,78,218,a,
73,Adams,50,0.2,935,700,a,100.0
74,Brooks,50,0.1,172,134,a,100.0
75,Christie,50,0.0,159,81,a,100.0
76,Tóth.A,50,0.0,22,44,a,
77,Adli,50,0.0,14,137,i,0.0
78,Kroupi.Jr,75,0.3,67,1986,i,0.0
79,Evanilson,60,3.1,14039,4852,a,
80,Enes Ünal,55,0.0,0,123,u,0.0
81,Rodríguez,60,0.1,280,277,a,100.0
566,Silva,50,0.4,767,503,a,
573,Sanchez,45,0.2,62,329,a,
608,Jebbison,50,0.1,728,251,a,
615,Di Gregorio,45,0.0,243,67,a,
82,Kelleher,50,6.6,12707,4165,a,
83,Valdimarsson,45,0.1,117,135,a,
84,Collins,55,2.1,3574,1902,a,
85,Van den Berg,50,0.1,23,546,i,0.0
86,Lewis-Potter,55,1.2,6692,1834,a,
87,Ajer,45,4.2,12699,4144,a,
88,Kayode,46,8.2,25637,5370,a,
89,Henry,45,0.2,82,216,a,
90,Hickey,45,0.1,116,100,a,
92,Ji-soo,45,0.0,25,35,a,
93,Schuster,45,0.2,21,122,a,
94,Schade,60,3.4,3570,6365,a,
95,O.Dango,65,1.1,942,2341,a,
96,Damsgaard,55,0.5,406,968,a,
97,Jensen,55,0.2,452,295,a,
98,Janelt,50,0.6,6835,1227,a,
99,Milambo,50,0.0,9,9,i,0.0
100,Carvalho,50,0.0,92,46,a,100.0
102,Yarmoliuk,50,1.1,152,1975,a,
103,Dasilva,50,0.0,25,72,a,
105,Anthony,60,0.2,313,401,a,
106,Thiago,80,16.2,10198,33317,a,
107,Furo,45,0.9,2498,1425,a,
108,Wilson,55,0.4,904,791,a,
565,M.Sangaré,56,9.7,53214,8913,a,
620,Diouf,45,0.0,2907,433,a,
109,Verbruggen,45,21.5,29678,12194,a,
111,Steele,40,4.0,4784,2478,a,
113,F.Kadıoğlu,44,2.2,1290,3784,a,100.0
114,Boscagli,45,0.3,1332,385,a,
115,De Cuyper,46,10.0,113027,4963,a,
116,Dunk,45,1.2,3452,929,a,
117,Coppola,45,0.0,45,34,a,
118,Igor,45,0.1,110,103,a,
119,Costinha,45,0.0,43,49,a,
120,Svoboda,50,0.1,148,101,a,
121,Mitoma,60,0.0,31,213,i,0.0
122,Minteh,59,0.1,18,449,i,0.0
123,Hinshelwood,60,2.0,2473,23252,d,50.0
124,Groß,55,12.6,7727,15951,a,
125,Georginio,55,1.0,1657,3465,d,75.0
126,O'Riley,55,0.1,190,227,a,
127,Gomez,50,3.8,8395,4817,a,
128,Buonanotte,50,0.0,0,21,u,0.0
129,Ayari,55,0.6,888,1298,a,
130,Wieffer,50,0.5,2877,687,a,
132,Howell,45,0.1,0,222,u,0.0
133,Watson,50,0.0,0,6,u,0.0
134,Oriola,45,0.3,425,419,a,
135,Yohanna,50,0.1,68,167,a,
137,Tzimas,55,0.0,10,38,i,0.0
138,Kostoulas,55,0.2,636,382,a,
139,Ferguson,50,0.0,120,148,i,0.0
328,Struijk,50,0.2,267,333,a,100.0
504,Vuskovic,50,2.5,4762,2621,a,
594,David,60,0.3,708,666,a,
600,Osman,50,0.0,36,29,a,
605,Yalcouyé,45,0.1,1061,343,a,
614,Hadjam,45,0.0,578,48,a,
40,Rogers,75,26.0,31271,31881,a,
101,Henderson,50,0.0,54,137,d,75.0
136,Welbeck,60,1.0,2129,2445,a,100.0
140,Sánchez,50,2.1,887,5394,a,
141,Jörgensen,50,0.0,0,50,u,0.0
142,James,55,9.9,8724,14586,a,
143,Chalobah,55,0.1,0,867,u,0.0
144,Gusto,50,1.2,1905,2028,a,
145,Fofana,50,0.0,319,96,a,100.0
146,B.Badiashile,45,0.0,0,214,u,0.0
147,Tosin,45,0.2,41,238,a,
148,Hato,45,0.5,579,763,a,
149,Colwill,50,1.5,1422,3045,a,
150,M.Sarr,45,0.1,24,944,u,0.0
151,Acheampong,45,0.4,1616,757,a,
152,Palestra,54,2.0,198,12290,d,75.0
154,Palmer,96,17.1,66630,12450,a,100.0
155,Enzo,69,4.2,1602,16829,a,
156,Neto,65,1.2,807,3680,a,
157,Estêvão,65,1.1,1039,3929,a,
158,Gittens,60,0.0,61,114,a,
159,Caicedo,54,2.7,532,16988,d,75.0
161,Lavia,50,0.1,226,159,a,
163,D.Essugo,45,0.2,310,417,a,
164,Quenda,55,0.0,53,159,a,100.0
165,João Pedro,76,68.5,43198,16709,a,
168,Marc Guiu,50,0.4,564,1067,a,
169,Mheuka,45,0.4,876,735,a,
170,Emegha,50,0.1,358,469,a,100.0
200,Lacroix,60,9.5,10391,10584,a,
560,Penders,45,0.1,91,154,a,
561,Anselmino,45,0.0,29,30,a,100.0
568,Barco,55,0.1,315,258,a,
578,Mudryk,55,0.0,46,181,a,
583,Chavarria,50,0.2,158,368,a,
91,Pinnock,45,0.1,145,176,a,
104,Onyeka,50,0.2,89,492,a,
110,Rushworth,45,1.2,452,2648,a,
171,Dovin,40,1.5,1124,1172,a,
172,Wilson,45,0.5,29,581,a,
173,Thomas,40,7.9,8858,6463,a,
174,Kitching,40,0.6,85,753,a,
175,van Ewijk,40,12.8,5698,15794,a,
176,Dasilva,40,0.8,259,753,a,
177,Kesler-Hayden,40,0.1,16,261,i,0.0
178,Bidwell,40,0.1,37,136,a,
179,Latibeaudiere,40,0.0,39,56,a,
180,Woolfenden,40,0.2,56,694,i,0.0
181,Brau,40,0.0,19,232,u,0.0
182,Amenda,40,0.8,272,1091,a,
183,Rudoni,50,0.1,156,327,a,100.0
184,Grimes,50,0.2,113,479,a,
185,Sakamoto,50,0.1,29,237,a,
186,Mason-Clark,55,0.1,65,254,a,100.0
187,Eccles,50,0.0,19,62,a,
188,Torp,55,0.2,21,430,a,
189,Shepherd,45,0.3,200,500,a,
190,Tchaouna,55,0.2,42,378,a,
191,Borges Rodrigues,45,0.2,244,341,a,
192,Andrews,45,0.6,142,3958,u,0.0
193,Wright,55,0.1,21,737,i,0.0
194,Thomas-Asante,50,0.8,2790,2156,a,
195,Simms,50,1.0,2529,3022,a,
196,Markelo,50,0.0,0,67,u,0.0
197,Bassette,45,0.0,0,128,u,0.0
492,Awoniyi,55,0.8,815,2197,a,
575,Yirenkyi,50,0.2,131,549,a,
584,Hamer,55,0.1,49,314,a,
599,Cherif,50,0.1,359,308,a,
623,Bentley,40,0.0,365,29,a,
42,Guessand,55,0.0,125,214,a,
153,Disasi,45,0.1,207,153,a,
198,Henderson,50,1.8,1854,2543,a,100.0
199,Benitez,45,0.1,94,189,a,
201,Muñoz,55,7.8,2910,39718,a,
202,Richards,50,0.7,808,1756,a,
203,Canvot,50,0.3,238,868,a,
204,Mitchell,45,5.4,1306,10356,a,
205,Sosa,45,0.0,23,64,a,
206,Chadi Riad,44,0.0,42,439,i,0.0
207,Mingueza,45,0.1,55,190,a,
208,Sarr,64,2.0,64,26423,i,0.0
210,Wharton,55,0.9,2185,2046,a,100.0
211,Yeremy,55,0.2,1049,351,a,
