id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
1,Raya,60,38.0,89660,96872,a,
2,Arrizabalaga,50,0.1,304,604,a,
3,Meslier,50,0.0,71,211,a,
4,Gabriel,80,27.3,24261,155238,a,
5,J.Timber,65,0.1,303,1417,i,0.0
6,Saliba,60,0.2,764,3443,i,0.0
7,Lewis-Skelly,55,0.7,4256,5947,a,
8,Calafiori,56,42.4,195861,57314,a,
9,Hincapie,54,1.3,3099,16851,a,
10,White,55,7.1,68754,48673,a,100.0
11,Mosquera,55,5.2,7537,40023,a,
12,Saka,95,10.3,46496,44540,a,
13,Rice,75,15.6,11625,114249,a,
14,Eze,64,1.6,4324,18924,a,
15,Ødegaard,66,11.7,64816,67081,a,
16,Madueke,64,0.3,758,3550,a,
17,Merino,59,0.5,1881,7441,a,
18,Martinelli,64,0.2,713,3036,a,
19,Zubimendi,54,0.9,2401,9451,a,
20,Dowman,54,0.1,398,1051,a,
22,Nwaneri,54,0.0,118,177,a,
23,Fábio Vieira,55,0.0,119,119,a,
24,Nelson,55,0.0,4,179,u,0.0
25,Gyökeres,74,5.7,4574,85109,a,
26,Havertz,75,7.3,37558,57023,a,
27,G.Jesus,59,0.3,1819,4508,a,
31,Konsa,44,10.5,95756,97127,a,
452,Bruno G.,69,2.3,1793,36016,a,100.0
557,Tzolis,65,23.9,70233,210808,a,
29,M.Bizot,45,0.1,1387,1186,a,
30,Digne,45,0.1,0,1304,u,0.0
32,Cash,45,7.2,14948,37735,a,
33,Mings,45,0.4,1531,2334,a,
34,Pau,45,0.4,1599,1936,a,
35,Bogarde,50,0.1,496,646,a,
36,Maatsen,45,0.7,3341,3730,a,
37,Lindelöf,45,0.3,1323,1403,a,
38,A.García,40,1.7,7710,8323,a,
39,Nedeljkovic,40,0.2,0,2214,u,0.0
41,Buendía,60,1.1,5752,10822,a,
44,Bailey,55,0.1,666,1632,a,
45,McGinn,55,2.6,6760,20591,a,
46,Barkley,50,0.2,2115,1791,a,
47,Kamara,50,0.3,2380,2854,a,100.0
48,Onana,50,0.0,96,349,i,0.0
49,Iling Jr,50,0.0,0,39,u,0.0
50,Burrowes,45,0.7,4531,4624,a,
51,George Hemmings,45,0.8,13545,5620,a,
52,Alysson,50,0.0,357,434,a,
53,Manzambi,59,0.2,193,3065,i,0.0
54,Gomes,55,0.0,39,659,s,0.0
55,Watkins,78,6.1,3954,126645,a,
56,Abraham,55,0.1,933,1416,a,100.0
160,Garnacho,59,0.5,1324,5854,a,
166,N.Jackson,65,0.7,4744,1286,a,
582,Madjo,55,0.4,528,4927,i,0.0
596,Ruggeri,45,0.1,463,747,a,
597,Suzuki,50,1.0,9675,4492,a,
606,Rowe,40,0.1,3414,832,a,
607,Lynch,45,0.1,2201,1191,a,
611,Wan-Bissaka,45,0.1,3386,784,a,
618,Goretzka,60,0.0,1909,388,a,
57,Petrović,45,3.4,22600,15379,a,
58,Forster,40,3.3,16517,9359,a,
59,Dennis,40,0.2,0,1634,u,0.0
60,Hill,55,0.9,3555,5171,a,
61,Truffert,55,4.0,6703,18766,a,
62,Diakité,50,0.2,1048,2207,a,
63,Milosavljević,50,0.0,43,134,i,0.0
64,Smith,45,0.1,860,950,a,
65,J.Araujo,45,0.0,46,232,i,0.0
66,Soler,40,0.2,2625,1173,a,100.0
67,Rayan,65,2.5,5784,29646,a,
68,Tavernier,60,2.4,14971,23630,a,
69,Scott,60,1.8,28788,8262,a,
70,Kluivert,60,1.2,5113,11382,a,
71,Cook,50,0.2,3506,1822,a,
