id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
1,Raya,61,42.2,110527,38299,a,
2,Arrizabalaga,49,0.1,84,196,a,
3,Meslier,49,0.0,39,99,a,
4,Gabriel,80,22.8,19378,56945,a,
5,J.Timber,65,0.4,10053,3204,a,100.0
6,Saliba,59,0.2,306,909,i,0.0
7,Lewis-Skelly,54,0.6,720,4407,a,
8,Calafiori,58,50.6,62984,53113,a,
9,Hincapie,52,0.9,1171,5021,a,
10,White,55,5.0,3150,57642,d,75.0
11,Mosquera,53,1.6,966,7867,a,100.0
12,Saka,95,13.5,84197,39053,a,
13,Rice,74,11.8,7120,63689,d,75.0
14,Eze,63,1.0,1779,5742,a,
15,Ødegaard,68,19.8,62619,76239,a,
16,Madueke,62,0.2,617,1350,a,
17,Merino,58,0.4,557,2489,a,
18,Martinelli,63,0.1,0,458,u,0.0
19,Zubimendi,53,0.6,404,3195,a,
20,Dowman,53,0.1,372,480,a,
22,Nwaneri,54,0.0,0,44,u,0.0
23,Fábio Vieira,55,0.0,0,33,u,0.0
24,Nelson,55,0.0,0,16,u,0.0
25,Gyökeres,71,3.1,4793,13965,a,
26,Havertz,76,8.5,48143,39382,a,
27,G.Jesus,59,0.1,0,793,u,0.0
31,Konsa,46,19.4,78087,37530,a,
452,Bruno G.,67,1.8,4387,6372,a,100.0
557,Tzolis,63,12.3,9785,126850,a,
29,M.Bizot,45,0.1,48,855,i,0.0
30,Digne,45,0.0,0,184,u,0.0
32,Cash,44,4.9,2248,21891,a,100.0
33,Mings,45,0.4,1387,1154,a,
34,Pau,45,0.3,33,2728,i,0.0
35,Bogarde,49,0.1,144,384,a,
36,Maatsen,44,0.5,46,5363,i,0.0
37,Lindelöf,45,0.3,813,1069,a,
38,A.García,40,1.5,1542,5152,a,
39,Nedeljkovic,40,0.1,0,452,u,0.0
41,Buendía,59,1.0,10136,3350,a,
44,Bailey,54,0.1,0,402,u,0.0
45,McGinn,54,2.2,5687,7086,a,
46,Barkley,50,0.3,460,1532,a,
47,Kamara,50,0.3,1069,1330,a,100.0
48,Onana,49,0.0,31,76,i,0.0
49,Iling Jr,50,0.0,0,9,u,0.0
50,Burrowes,45,0.6,529,2902,a,
51,George Hemmings,45,1.2,2713,8482,a,
52,Alysson,50,0.0,60,675,d,75.0
53,Manzambi,59,0.4,25074,2353,a,100.0
54,Gomes,55,0.0,369,148,a,100.0
55,Watkins,78,2.5,0,10044,u,0.0
56,Abraham,55,0.2,1341,1463,a,100.0
160,Garnacho,58,0.3,419,2395,a,
166,N.Jackson,65,1.4,28685,6336,a,
582,Madjo,54,0.2,159,1562,i,0.0
596,Ruggeri,45,0.1,426,275,a,
597,Suzuki,50,1.9,11777,5352,a,
606,Rowe,40,0.2,258,779,a,
607,Lynch,45,0.1,0,594,u,0.0
611,Wan-Bissaka,45,0.2,1226,1224,a,
618,Goretzka,59,0.0,16,367,i,0.0
630,Harwood-Bellis,45,0.0,149,151,a,
631,Mbaye,60,0.1,742,999,a,
