id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
1,Raya,60,40.8,195566,38455,a,
2,Arrizabalaga,49,0.1,131,424,a,
3,Meslier,49,0.0,57,153,a,
4,Gabriel,80,23.3,32600,74753,a,
5,J.Timber,65,0.2,13472,2388,a,100.0
6,Saliba,59,0.2,338,1637,i,0.0
7,Lewis-Skelly,55,0.6,2407,7851,a,
8,Calafiori,58,50.2,185690,49017,a,
9,Hincapie,53,0.9,1979,12106,a,
10,White,55,6.2,17642,150949,d,75.0
11,Mosquera,53,1.9,140,60498,d,50.0
12,Saka,95,12.4,126294,40118,a,
13,Rice,74,12.6,20153,56303,a,
14,Eze,63,1.1,2293,13277,a,
15,Ødegaard,67,19.5,220177,81744,a,
16,Madueke,62,0.2,821,2781,a,
17,Merino,58,0.4,1016,4994,a,
18,Martinelli,63,0.1,0,1194,u,0.0
19,Zubimendi,53,0.6,1142,6722,a,
20,Dowman,53,0.1,660,832,a,
22,Nwaneri,54,0.0,0,90,u,0.0
23,Fábio Vieira,55,0.0,0,69,u,0.0
24,Nelson,55,0.0,0,46,u,0.0
25,Gyökeres,72,3.3,2880,40104,a,
26,Havertz,76,7.9,63805,68686,a,
27,G.Jesus,59,0.2,0,1831,u,0.0
31,Konsa,45,18.3,221088,39464,a,
452,Bruno G.,67,1.8,12191,6815,a,100.0
557,Tzolis,64,14.4,25636,179768,a,
29,M.Bizot,45,0.1,367,886,d,75.0
30,Digne,45,0.1,0,334,u,0.0
32,Cash,44,5.2,1139,90378,a,100.0
33,Mings,45,0.4,2118,3409,a,
34,Pau,45,0.4,215,5756,d,75.0
35,Bogarde,50,0.1,379,710,a,
36,Maatsen,45,0.7,519,18523,d,25.0
37,Lindelöf,45,0.3,2103,2288,a,
38,A.García,40,1.6,5453,9882,a,
39,Nedeljkovic,40,0.1,0,883,u,0.0
41,Buendía,59,0.9,3544,13976,a,
44,Bailey,54,0.1,0,1226,u,0.0
45,McGinn,54,2.3,11676,14742,a,
46,Barkley,50,0.3,1605,2605,a,
47,Kamara,50,0.3,1433,3264,a,100.0
48,Onana,49,0.0,42,161,i,0.0
49,Iling Jr,50,0.0,0,18,u,0.0
50,Burrowes,45,0.6,1537,5060,a,
51,George Hemmings,45,1.3,10015,10970,a,
52,Alysson,50,0.1,1138,405,a,
53,Manzambi,59,0.1,1310,732,a,100.0
54,Gomes,55,0.0,377,204,d,75.0
55,Watkins,78,2.7,0,25756,u,0.0
56,Abraham,55,0.2,1906,1909,a,100.0
160,Garnacho,58,0.3,629,5224,a,
